"Codice regione";"Regione";"Età";"Totale maschi";"Totale femmine";"Totale"
"13";"Abruzzo";0;3571;3445;7016
"13";"Abruzzo";1;3881;3576;7457
"13";"Abruzzo";2;4038;3689;7727
"13";"Abruzzo";3;4291;3937;8228
"13";"Abruzzo";4;4348;4188;8536
"13";"Abruzzo";5;4486;4208;8694
"13";"Abruzzo";6;4576;4336;8912
"13";"Abruzzo";7;4739;4525;9264
"13";"Abruzzo";8;5085;4768;9853
"13";"Abruzzo";9;5334;5005;10339
"13";"Abruzzo";10;5437;5069;10506
"13";"Abruzzo";11;5474;5201;10675
"13";"Abruzzo";12;5570;5249;10819
"13";"Abruzzo";13;5831;5570;11401
"13";"Abruzzo";14;6022;5464;11486
"13";"Abruzzo";15;6067;5746;11813
"13";"Abruzzo";16;6056;5578;11634
"13";"Abruzzo";17;6249;5826;12075
"13";"Abruzzo";18;6218;5776;11994
"13";"Abruzzo";19;6289;5703;11992
"13";"Abruzzo";20;6417;5843;12260
"13";"Abruzzo";21;6674;5788;12462
"13";"Abruzzo";22;6523;5788;12311
"13";"Abruzzo";23;6433;5617;12050
"13";"Abruzzo";24;6535;5896;12431
"13";"Abruzzo";25;6871;5857;12728
"13";"Abruzzo";26;6668;5804;12472
"13";"Abruzzo";27;6831;5977;12808
"13";"Abruzzo";28;6781;5839;12620
"13";"Abruzzo";29;6651;6005;12656
"13";"Abruzzo";30;6741;5867;12608
"13";"Abruzzo";31;6680;6095;12775
"13";"Abruzzo";32;6938;6272;13210
"13";"Abruzzo";33;7134;6515;13649
"13";"Abruzzo";34;7101;6596;13697
"13";"Abruzzo";35;7270;6813;14083
"13";"Abruzzo";36;7356;6726;14082
"13";"Abruzzo";37;7419;7028;14447
"13";"Abruzzo";38;7135;6957;14092
"13";"Abruzzo";39;7359;7232;14591
"13";"Abruzzo";40;7640;7470;15110
"13";"Abruzzo";41;7820;7567;15387
"13";"Abruzzo";42;7795;7543;15338
"13";"Abruzzo";43;7959;8057;16016
"13";"Abruzzo";44;8046;7938;15984
"13";"Abruzzo";45;8291;8105;16396
"13";"Abruzzo";46;8621;8486;17107
"13";"Abruzzo";47;8948;8736;17684
"13";"Abruzzo";48;9043;8833;17876
"13";"Abruzzo";49;9315;9319;18634
"13";"Abruzzo";50;9431;9717;19148
"13";"Abruzzo";51;9923;9943;19866
"13";"Abruzzo";52;9670;10000;19670
"13";"Abruzzo";53;9976;10261;20237
"13";"Abruzzo";54;9973;10565;20538
"13";"Abruzzo";55;9845;10252;20097
"13";"Abruzzo";56;10293;10583;20876
"13";"Abruzzo";57;10159;10554;20713
"13";"Abruzzo";58;10133;10725;20858
"13";"Abruzzo";59;10344;10770;21114
"13";"Abruzzo";60;10288;10785;21073
"13";"Abruzzo";61;10403;10728;21131
"13";"Abruzzo";62;9669;10235;19904
"13";"Abruzzo";63;9289;9785;19074
"13";"Abruzzo";64;8848;9819;18667
"13";"Abruzzo";65;8817;9591;18408
"13";"Abruzzo";66;8552;9409;17961
"13";"Abruzzo";67;8183;9007;17190
"13";"Abruzzo";68;8095;8787;16882
"13";"Abruzzo";69;8042;8567;16609
"13";"Abruzzo";70;7751;8707;16458
"13";"Abruzzo";71;7464;8396;15860
"13";"Abruzzo";72;6980;7831;14811
"13";"Abruzzo";73;6841;7712;14553
"13";"Abruzzo";74;6633;7801;14434
"13";"Abruzzo";75;6890;7833;14723
"13";"Abruzzo";76;6840;7903;14743
"13";"Abruzzo";77;6705;8008;14713
"13";"Abruzzo";78;6264;7361;13625
"13";"Abruzzo";79;5949;7022;12971
"13";"Abruzzo";80;4151;5233;9384
"13";"Abruzzo";81;4335;5389;9724
"13";"Abruzzo";82;3999;5141;9140
"13";"Abruzzo";83;3628;4883;8511
"13";"Abruzzo";84;3458;4692;8150
"13";"Abruzzo";85;3601;5173;8774
"13";"Abruzzo";86;3355;5000;8355
"13";"Abruzzo";87;2795;4254;7049
"13";"Abruzzo";88;2456;3928;6384
"13";"Abruzzo";89;1931;3367;5298
"13";"Abruzzo";90;1690;3054;4744
"13";"Abruzzo";91;1265;2560;3825
"13";"Abruzzo";92;1068;2289;3357
"13";"Abruzzo";93;781;1713;2494
"13";"Abruzzo";94;582;1431;2013
"13";"Abruzzo";95;469;1229;1698
"13";"Abruzzo";96;294;822;1116
"13";"Abruzzo";97;196;601;797
"13";"Abruzzo";98;145;396;541
"13";"Abruzzo";99;77;281;358
"13";"Abruzzo";100;117;501;618
"13";"Abruzzo";999;623200;644022;1267222
"17";"Basilicata";0;1525;1443;2968
"17";"Basilicata";1;1579;1467;3046
"17";"Basilicata";2;1570;1527;3097
"17";"Basilicata";3;1741;1491;3232
"17";"Basilicata";4;1748;1614;3362
