AREA;Regione;prov;2011_CodCom;NTN 2011 fino a 50 mq;NTN 2011  50 -| 85 mq;NTN 2011  85 -| 115 mq;NTN 2011 115 -| 145 mq;NTN 2011 oltre 145 mq;NTN 2011
Nord Ovest;Liguria;GE;A388;21,83;78,94;41,78;21,37;11;174,92
Nord Ovest;Liguria;GE;A506;0;8;11,51;7,5;3;30,01
Nord Ovest;Liguria;GE;A658;1;20,5;16;9;6,75;53,25
Nord Ovest;Liguria;GE;A922;2;19,73;17,13;2,17;5;46,03
Nord Ovest;Liguria;GE;B067;3;6,52;5,75;5,5;5,5;26,27
Nord Ovest;Liguria;GE;B282;6;12,83;28,11;8,83;2,76;58,53
Nord Ovest;Liguria;GE;B490;18,83;25,75;17,43;2,75;5,5;70,26
Nord Ovest;Liguria;GE;B538;8,75;17,33;9;3;2,77;40,85
Nord Ovest;Liguria;GE;B551;1;30,5;26;10;4;71,5
Nord Ovest;Liguria;GE;B726;3;10,5;5;14,33;5;37,83
Nord Ovest;Liguria;GE;B939;5;26,83;15,34;10;4;61,17
Nord Ovest;Liguria;GE;B956;3;10,8;13;3;5;34,8
Nord Ovest;Liguria;GE;C302;2;2,67;3,67;1,5;6;15,84
Nord Ovest;Liguria;GE;C481;1;14,17;12,78;8,5;6;42,45
Nord Ovest;Liguria;GE;C621;26,17;82,25;80,25;36;26,2;250,87
Nord Ovest;Liguria;GE;C673;2;3;3;4,8;4;16,8
Nord Ovest;Liguria;GE;C823;11,95;77,67;41;7;6,9;144,52
Nord Ovest;Liguria;GE;C826;7;15;19;7;6;54
Nord Ovest;Liguria;GE;C995;0;0;0;0;0,25;0,25
Nord Ovest;Liguria;GE;D175;0;1;3;0,5;3;7,5
Nord Ovest;Liguria;GE;D255;2;4,5;9,33;3;3;21,83
Nord Ovest;Liguria;GE;D509;0;0;1;0;0;1
Nord Ovest;Liguria;GE;D512;0;2;5,5;0;0;7,5
Nord Ovest;Liguria;GE;D677;0;4,5;1,5;1;1;8
Nord Ovest;Liguria;GE;D969;508,1;2917,51;2216,72;869,73;491,31;7003,37
Nord Ovest;Liguria;GE;E109;0;1,5;0;1;2;4,5
Nord Ovest;Liguria;GE;E341;1,5;11,4;4,67;1;6,5;25,07
Nord Ovest;Liguria;GE;E488;31,83;73,56;37,33;3,42;6,25;152,39
Nord Ovest;Liguria;GE;E519;0;7;2;0;5,93;14,93
Nord Ovest;Liguria;GE;E695;0;2;1;1;1;5
Nord Ovest;Liguria;GE;E737;1;3,67;2;6,6;4;17,27
Nord Ovest;Liguria;GE;F020;0,33;18,83;16;4,5;3;42,66
Nord Ovest;Liguria;GE;F098;6;15;5;9,22;4;39,22
Nord Ovest;Liguria;GE;F173;0;3;4,39;4;2;13,39
Nord Ovest;Liguria;GE;F202;2;13,9;12;7,17;5;40,07
Nord Ovest;Liguria;GE;F256;1;13,5;5,5;2,67;1,57;24,24
Nord Ovest;Liguria;GE;F354;12;17;7;6;2;44
Nord Ovest;Liguria;GE;F445;0;2;3;1;1;7
Nord Ovest;Liguria;GE;F682;2;11,34;6,67;2,45;10;32,46
Nord Ovest;Liguria;GE;F858;0,7;5,5;6;3,44;7;22,64
Nord Ovest;Liguria;GE;F862;0;9;2,18;2;1,18;14,36
Nord Ovest;Liguria;GE;G093;0;1;0,5;0;1,5;3
Nord Ovest;Liguria;GE;G646;4,49;4;9,01;3;4,83;25,33
Nord Ovest;Liguria;GE;G913;0;1;0,17;1;0;2,17
Nord Ovest;Liguria;GE;H073;0;3;1;1;0;5
Nord Ovest;Liguria;GE;H183;88,98;245,92;105,63;36,14;33,64;510,31
Nord Ovest;Liguria;GE;H212;10;42,75;18;13,83;8,75;93,33
