AREA;Regione;prov;2012_CodCom;NTN_2012_Uffici;NTN_2012_Negozi_Lab;NTN_2012_Depositi_Comm;NTN_2012_TCO_B04;NTN_2012_TCO_D02;NTN_2012_TCO_D05;NTN_2012_TCO_D08;NTN_2012_PRO;NTN_2012_AGR
Nord Ovest;Liguria;GE;A388;2;2;3,26;0;0;0;1;6;0
Nord Ovest;Liguria;GE;A506;0;0;3;0;0;0;0;1;0
Nord Ovest;Liguria;GE;A658;0;0,5;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;A922;0;2;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B067;0;0;1,84;1;0;0;0;0;0
Nord Ovest;Liguria;GE;B282;0;4;8,17;0;0;0;0;4;0
Nord Ovest;Liguria;GE;B490;0;3,11;2,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B538;0;0;2;0;0;0;0;1;0
Nord Ovest;Liguria;GE;B551;3;7;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B726;0;1;5,08;0;0;0;0;1;0
Nord Ovest;Liguria;GE;B939;0;1;3,5;0;0;0;0;2;0
Nord Ovest;Liguria;GE;B956;0;2;4,66;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C302;0;1;3;0;0;0;1;1;0
Nord Ovest;Liguria;GE;C481;0;1;7;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C621;1;8,17;9,05;0;0;2;0;0;0
Nord Ovest;Liguria;GE;C673;0;1;2,2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C823;1;5;7,83;0;0;0;0;2;0
Nord Ovest;Liguria;GE;C826;0;2;7,17;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C995;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D175;0;0;0,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D255;0;0;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D509;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D512;0;1;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D677;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D969;126,92;280,25;223,14;0;5;3;42;62,13;0
Nord Ovest;Liguria;GE;E109;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E341;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E488;2;3,5;7;0;0;0;0;2;0
Nord Ovest;Liguria;GE;E519;0;0;5;0;0;0;0;2;0
Nord Ovest;Liguria;GE;E695;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E737;0;0;5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F020;0;1;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F098;0;1;5,5;0;0;0;0;1;0
Nord Ovest;Liguria;GE;F173;0;1;0;0;0;0;1;0;0
Nord Ovest;Liguria;GE;F202;0;0;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F256;0;2;5,04;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F354;0;0;1;0;2;0;0;2;0
Nord Ovest;Liguria;GE;F445;0;0;3,75;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F682;0;1;11;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F858;0;0;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F862;0;0;1,5;0;0;0;1;1;0
Nord Ovest;Liguria;GE;G093;0;0;1,14;0;0;0;2;0;0
Nord Ovest;Liguria;GE;G646;0;1;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;G913;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H073;0;0;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H183;2;8,33;11,55;0;5;1;0;0;0
Nord Ovest;Liguria;GE;H212;0;8;1;0;0;0;0;1;0
Nord Ovest;Liguria;GE;H258;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H536;0;1;3,33;0;0;0;0;2;0
Nord Ovest;Liguria;GE;H546;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H581;0;2;0;0;0;0;0;2;0,33
Nord Ovest;Liguria;GE;H599;0;0;3,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H802;0;0,75;1;0;0;0;0;1;0
Nord Ovest;Liguria;GE;I225;1;2;3,5;0;0;0;1;1;0
Nord Ovest;Liguria;GE;I346;0;0;5,92;0;0;0;0;1,5;0
Nord Ovest;Liguria;GE;I368;0;0,58;2,37;0;0;0;0;0;0
