AREA;Regione;prov;2012_CodCom;NTN 2012 fino a 50 mq;NTN 2012 50 -| 85 mq;NTN 2012 85 -| 115 mq;NTN 2012 115 -| 145 mq;NTN 2012  oltre 145 mq;NTN 2012
Nord Ovest;Liguria;GE;A388;20,05;50,96;35;9,45;7;122,46
Nord Ovest;Liguria;GE;A506;1;8,5;11,24;4;5;29,74
Nord Ovest;Liguria;GE;A658;1,33;7,34;11,17;5,5;2,83;28,17
Nord Ovest;Liguria;GE;A922;3;15,5;9,5;8;2;38
Nord Ovest;Liguria;GE;B067;3,5;2;12;1;3,5;22
Nord Ovest;Liguria;GE;B282;1;9;15;7;2,17;34,17
Nord Ovest;Liguria;GE;B490;8,25;28,5;14,67;7;6;64,42
Nord Ovest;Liguria;GE;B538;1;6,5;8;2,5;3;21
Nord Ovest;Liguria;GE;B551;0;24;18,5;5,33;2;49,83
Nord Ovest;Liguria;GE;B726;5,5;9;6,3;5;4;29,8
Nord Ovest;Liguria;GE;B939;5;16,08;13,5;6,5;2;43,08
Nord Ovest;Liguria;GE;B956;0;9,83;5;9,05;3;26,88
Nord Ovest;Liguria;GE;C302;1;2,75;6;2,75;6;18,5
Nord Ovest;Liguria;GE;C481;5;9;7;4,84;4,33;30,17
Nord Ovest;Liguria;GE;C621;27,9;87,73;51,33;18,5;15,05;200,51
Nord Ovest;Liguria;GE;C673;0;7;6;1,2;0;14,2
Nord Ovest;Liguria;GE;C823;12;47,58;31,51;5,58;2;98,67
Nord Ovest;Liguria;GE;C826;4,64;16,75;18,28;5,5;5,5;50,67
Nord Ovest;Liguria;GE;C995;0;0;0,17;1;1;2,17
Nord Ovest;Liguria;GE;D175;3,42;5,33;4;3;1;16,75
Nord Ovest;Liguria;GE;D255;7;12,92;8,16;3,33;2;33,41
Nord Ovest;Liguria;GE;D509;1;2;1;1;0;5
Nord Ovest;Liguria;GE;D512;0;2;1;0;1;4
Nord Ovest;Liguria;GE;D677;2;1;2;1;0;6
Nord Ovest;Liguria;GE;D969;370,12;2142,43;1611,1;622,55;420,4;5166,6
Nord Ovest;Liguria;GE;E109;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E341;1,67;4;5;4;0,33;15
Nord Ovest;Liguria;GE;E488;16,5;54,72;18,25;11,75;9,83;111,05
Nord Ovest;Liguria;GE;E519;2;3;4;2;6;17
Nord Ovest;Liguria;GE;E695;0;1;3;0;1;5
Nord Ovest;Liguria;GE;E737;3;8,5;3,5;1,5;2,25;18,75
Nord Ovest;Liguria;GE;F020;5;11;14,08;3,27;5;38,35
Nord Ovest;Liguria;GE;F098;1;12;14;4;1;32
Nord Ovest;Liguria;GE;F173;1;1;3,83;0;2;7,83
Nord Ovest;Liguria;GE;F202;2;8;7,39;8;5;30,39
Nord Ovest;Liguria;GE;F256;6;10;0;0;2;18
Nord Ovest;Liguria;GE;F354;7,5;21;6,5;0,35;2,35;37,7
Nord Ovest;Liguria;GE;F445;1;2,75;0;1,86;0,8;6,41
Nord Ovest;Liguria;GE;F682;2,5;6,99;2,84;4,33;2,33;18,99
