AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Nord Est;Veneto;PD;A001;5,67;33,14;39,88;33,47;38,17;150,33
Nord Ovest;Lombardia;LO;A004;0;0;0;0;2;2
Nord Ovest;Lombardia;LC;A005;3;9,78;4;1;1,9;19,68
Centro;Toscana;SI;A006;1,75;10,8;8;5,32;5,67;31,54
Isole;Sardegna;OR;A007;0;0;0;3,86;7;10,86
Sud;Abruzzo ;PE;A008;2;2;1;0;1;6
Nord Ovest;Lombardia;MI;A010;15,83;111,67;72,23;31,91;18,17;249,81
Centro;Toscana;PT;A012;13;17,06;2;1;2;35,06
Sud;Basilicata;PZ;A013;2,67;0,2;2,2;0,5;1,75;7,32
Isole;Sicilia;RG;A014;4,25;6,67;9,61;4;3,5;28,03
Sud;Puglia;FG;A015;1,1;6;4,5;1;1;13,6
Nord Ovest;Piemonte;CN;A016;3;5;0;0;1;9
Sud;Basilicata;MT;A017;9;5,5;7;2;0;23,5
Sud;Abruzzo ;AQ;A018;0;1;0;1;0;2
Centro;Lazio;RI;A019;1;0,83;2,17;0;3,37;7,37
Sud;Basilicata;PZ;A020;3,04;4,67;3;0,56;0;11,27
Sud;Campania;SA;A023;0;3,5;3,5;0;2,2;9,2
Sud;Campania;NA;A024;32,85;84,55;80,14;51,76;26,59;275,89
Isole;Sicilia;CT;A025;0,75;5,25;6,75;9;11;32,75
Isole;Sicilia;CT;A026;15,17;45,63;36,22;18;12,17;127,19
Isole;Sicilia;CT;A027;4;31;84,75;30,67;22,54;172,96
Isole;Sicilia;CT;A028;17,66;75,55;74,23;67,84;39,56;274,84
Isole;Sicilia;CT;A029;3,17;14,89;26,5;20,5;33,51;98,57
Centro;Marche;MC;A031;1;0;0;0;2,25;3,25
Centro;Lazio;FR;A032;0;4;0;1;0;5
Sud;Calabria;CS;A033;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;1;0;0,17;5;2,84;9,01
Centro;Marche;PS;A035;0;3;7;2;3,38;15,38
Nord Ovest;Lombardia;MN;A038;0;1;2;1,83;2;6,83
Nord Ovest;Lombardia;CR;A039;0;2;1;0,17;0,83;4
Centro;Lazio;VT;A040;7;4;13,67;6;11,56;42,23
Sud;Calabria;CS;A041;1;9;6;1;2;19
Sud;Puglia;LE;A042;0;1;2,25;3;5,57;11,82
Sud;Calabria;VV;A043;0;0;1;2;1;4
Centro;Marche;AP;A044;2,33;3,33;6,5;2,33;3,5;17,99
Centro;Umbria;TR;A045;1,08;11,14;5;2,83;6;26,05
Centro;Marche;AP;A047;1;9,06;10;2;3;25,06
Sud;Puglia;BA;A048;2;21,67;21,83;22,55;23,75;91,8
Isole;Sicilia;CL;A049;1;0;3;3;3;10
Sud;Molise;CB;A050;1;3;2,17;1;0;7,17
Sud;Molise;IS;A051;0;0;1;0;0;1
Nord Ovest;Piemonte;AL;A052;20;61,5;45,47;14,66;28,47;170,1
Sud;Calabria;CS;A053;3,5;7,75;8,75;10;8;38
Centro;Lazio;FR;A054;1,67;2,67;1,5;2;2;9,84
Sud;Puglia;BA;A055;10,5;21;40,85;27,5;35,17;135,02
Isole;Sicilia;CT;A056;22;43,97;35,05;32,08;45,95;179,05
Nord Ovest;Lombardia;BG;A057;1;2;4;0;4;11
Nord Ovest;Lombardia;BG;A058;0,33;0,5;2;1;1,5;5,33
Nord Est;Veneto;RO;A059;21;39,75;34,33;19,08;27,83;141,99
Nord Ovest;Lombardia;BS;A060;1;4,2;8;6,67;7,87;27,74
Nord Est;Veneto;VR;A061;0;4;1,5;0;3,5;9
Centro;Lazio;RM;A062;3;1,5;2;1,01;2;9,51
Sud;Campania;NA;A064;39,31;73,93;53,19;27,83;21,46;215,72
Sud;Calabria;RC;A065;0;0;0;0;2;2
Nord Est;Emilia-Romagna;PC;A067;0;3;2;3;11,22;19,22
Sud;Campania;NA;A068;5;5,5;7,07;5;9,07;31,64
Isole;Sardegna;SS;A069;0;1;2;2;1;6
Isole;Sicilia;EN;A070;9,73;7,18;8;4,53;8,67;38,11
Centro;Toscana;PT;A071;3;44;34,5;16,67;20;118,17
Nord Ovest;Piemonte;AT;A072;0;0;3;1;1,5;5,5
Nord Ovest;Piemonte;TO;A074;0;1;3,5;0;2,83;7,33
Nord Est;Veneto;PD;A075;0;2;1;2,5;3;8,5
Nord Ovest;Lombardia;CR;A076;3;14;9,5;7,83;6;40,33
Sud;Calabria;RC;A077;0;1;2;1;2;6
Sud;Molise;IS;A080;3,47;4,88;2,17;6,66;7;24,18
Centro;Lazio;FR;A081;0;0;3;0;2;5
Nord Ovest;Lombardia;BS;A082;0;0;1;5,5;3,34;9,84
Nord Est;Veneto;BL;A083;3;7,33;9;3;4;26,33
Centro;Lazio;RM;A084;4,67;5,43;4,5;1;3,25;18,85
Nord Ovest;Lombardia;VA;A085;1;4,11;0;1;2,33;8,44
Nord Ovest;Lombardia;MI;A087;7,39;50,29;44,05;15,75;9,2;126,68
Nord Ovest;Piemonte;NO;A088;0;0;1;5,25;6;12,25
Isole;Sicilia;AG;A089;28,09;103,06;81,79;108,07;55,29;376,3
Sud;Campania;SA;A091;34,96;60,61;32,26;19,5;14,76;162,09
Centro;Marche;AN;A092;1;7,5;9,59;0,5;6;24,59
Nord Est;Veneto;VI;A093;2;0;2;1;3,66;8,66
Nord Ovest;Valle d'Aosta;AO;A094;9;22;10;3;0;44
Nord Ovest;Lombardia;MI;A096;1;7;2,5;1;1;12,5
Isole;Sardegna;OR;A097;0;0;0;0;1;1
Isole;Sicilia;EN;A098;2,33;3;4,98;5,67;5;20,98
Sud;Abruzzo ;AQ;A100;2;5;0;1;0;8
Sud;Campania;AV;A101;0,04;2,04;3,52;7;7,06;19,66
Sud;Calabria;CS;A102;1;1;1;1;1;5
Sud;Calabria;CS;A105;0;0,17;0;0;0;0,17
Sud;Campania;CE;A106;2;2;0;0;1;5
Nord Ovest;Piemonte;BI;A107;0,75;0;0,75;2;0;3,5
Nord Ovest;Valle d'Aosta;AO;A108;1;5;0;3;0;9
Nord Ovest;Piemonte;TO;A109;3;6;3,5;1;5;18,5
Sud;Campania;BN;A110;9;2;4,29;5;18;38,29
Nord Ovest;Liguria;IM;A111;2;6,67;1;0;2;11,67
Nord Ovest;Lombardia;LC;A112;2;5,5;3;1,99;1,33;13,82
Nord Ovest;Piemonte;CN;A113;0;0;0;0;0,67;0,67
Isole;Sardegna;SS;A115;0;0;0,33;3;0;3,33
Nord Ovest;Piemonte;TO;A117;1;2;1;0;2,25;6,25
Nord Ovest;Lombardia;PV;A118;0;0,67;2;1;1;4,67
Nord Ovest;Piemonte;VC;A119;3;6;3;1;0,33;13,33
Sud;Abruzzo ;PE;A120;0;3;9;3;6,75;21,75
Nord Est;Veneto;BL;A121;0,5;3;3;4;5,94;16,44
Nord Ovest;Liguria;SV;A122;25,71;66,6;42,24;16,8;3;154,35
Centro;Lazio;FR;A123;8,44;11;19;29,84;8,38;76,66
Nord Ovest;Piemonte;CN;A124;34;89,11;70;35,5;25,17;253,78
Sud;Abruzzo ;TE;A125;42;103,8;24,38;7,99;5,5;183,67
Isole;Sardegna;OR;A126;0;0;1;0;0;1
Nord Ovest;Lombardia;MI;A127;2;9,75;11;3;4,5;30,25
Sud;Campania;SA;A128;0;7;4;2;10;23
Nord Ovest;Lombardia;BG;A129;4;24,5;21;9;8,17;66,67
Nord Ovest;Piemonte;VC;A130;0;2;1;0;1;4
Sud;Basilicata;PZ;A131;1;2,17;0;0;0;3,17
Centro;Lazio;RM;A132;23;89,17;77,59;21;14,25;225,01
Nord Ovest;Lombardia;PV;A134;0;0;1;1;0;2
Nord Ovest;Lombardia;SO;A135;1;1;0;0;0;2
Nord Est;Veneto;VR;A137;0;1,06;5;4,8;9,19;20,05
Nord Est;Emilia-Romagna;PR;A138;0;0;0;1;1;2
Nord Ovest;Piemonte;CN;A139;0;0;0;0;1;1
Nord Ovest;Lombardia;CO;A143;2;13,25;5,5;5,25;7,67;33,67
Nord Ovest;Liguria;SV;A145;31,28;107;50,82;13,5;8,5;211,1
Nord Ovest;Piemonte;AL;A146;1;2;1;0;0;4
Sud;Puglia;BA;A149;10;10,92;8,25;11;7;47,17
Sud;Puglia;FG;A150;1,5;5,28;2;2;0;10,78
Nord Ovest;Lombardia;CO;A153;1;7;1,94;4,33;5;19,27
Nord Est;Veneto;VI;A154;1;2;3;3;3;12
Sud;Calabria;CZ;A155;0;0,67;1;1;0;2,67
Nord Ovest;Piemonte;TO;A157;0;0;0;4;1;5
Nord Ovest;Lombardia;MI;A159;4,9;17,25;11,5;9;5;47,65
Sud;Calabria;CS;A160;1;1;0;0;0;2
