AREA;Regione;prov;2014_CodFitt;NTN_2014_Uffici;NTN_2014_Negozi_Lab;NTN_2014_Depositi_Comm;NTN_2014_TCO_B04;NTN_2014_TCO_D02;NTN_2014_TCO_D05;NTN_2014_TCO_D08;NTN_2014_PRO;NTN_2014_AGR
Nord Ovest;Liguria;GE;A388;1;5;1,92;0;0;0;0;6;0
Nord Ovest;Liguria;GE;A506;0;0;2;0;0;0;0;1;0
Nord Ovest;Liguria;GE;A658;0;2;0,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;A922;1;5,16;1,67;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B067;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B282;1;5;5,95;0;0;0;0;5;0
Nord Ovest;Liguria;GE;B490;0;5;3,25;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B538;0;2;1,22;0;0;0;1;0;0
Nord Ovest;Liguria;GE;B551;0;1;4,83;0;0;0;0;2;0
Nord Ovest;Liguria;GE;B726;0;2;1;0;0;0;2;1;0
Nord Ovest;Liguria;GE;B939;0;0;2,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;B956;0;2;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C302;0;0;0,16;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C481;0;0;8;0;0;0;0;2;0
Nord Ovest;Liguria;GE;C621;3;6;9,42;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C673;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C823;0;0;11,5;0;0;0;6,5;0;0
Nord Ovest;Liguria;GE;C826;0;1;9;0;0;0;0;0;0
Nord Ovest;Liguria;GE;C995;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D175;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D255;0;2;4,83;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D509;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D512;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D677;0;0;0,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D969;97,63;257,78;224,55;16;1;3;31;37,03;0
Nord Ovest;Liguria;GE;E109;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E341;0;0;1,66;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E488;0;8,93;6;0;0;0;0,2;2;0
Nord Ovest;Liguria;GE;E519;0;0;2;0;0;0;0;2;0
Nord Ovest;Liguria;GE;E695;0;0,25;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;E737;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F020;0;1;3,57;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F098;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F173;0;0;1;0;0;0;0;1;0
Nord Ovest;Liguria;GE;F202;0;0;5,97;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F256;0;0;3,04;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F354;0;0;3;0;4;0;0;1;0
Nord Ovest;Liguria;GE;F445;0;0;2;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F682;0;3;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F858;0;0;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;F862;0;0;3;0;0;0;0;0;0
Nord Ovest;Liguria;GE;G093;0;1;6,25;0;0;0;0;0;0
Nord Ovest;Liguria;GE;G646;1;0;0,83;0;0;0;0;0;0
Nord Ovest;Liguria;GE;G913;0;0,83;0;0;0,1;0;0;0;0
Nord Ovest;Liguria;GE;H073;0;0;1,33;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H183;0;9,7;17,08;0;6;0;0;2;0
Nord Ovest;Liguria;GE;H212;0;9;8,43;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H258;0;0;1;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H536;0;2;9;0;0;0;0;1;0
Nord Ovest;Liguria;GE;H546;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H581;0;1;4;0;0;0;0;1;0
Nord Ovest;Liguria;GE;H599;0;0;4,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H802;0;0;6;0;0;0;0;0;0
Nord Ovest;Liguria;GE;I225;0;1,5;4,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;I346;0;5;8,5;0;0;0;0;3;0
Nord Ovest;Liguria;GE;I368;0;1;4;0;0;0;0;0;0
Nord Ovest;Liguria;GE;I475;0;1;9,5;0;0;0;0;0;0
Nord Ovest;Liguria;GE;I640;0;1;11,17;0;0;0;0;1;0
Nord Ovest;Liguria;GE;I693;0;2,18;11;0;0,25;0;0;0,17;0
Nord Ovest;Liguria;GE;I852;0;1;0;0;0;0;0;1;0
