AREA;Regione;prov;2014_CodFitt;NTN_2014_Box;NTN_2014_Depositi_Pert
Nord Ovest;Liguria;GE;A388;103,62;17,65
Nord Ovest;Liguria;GE;A506;13;3
Nord Ovest;Liguria;GE;A658;4;0,5
Nord Ovest;Liguria;GE;A922;22;5,5
Nord Ovest;Liguria;GE;B067;0;3
Nord Ovest;Liguria;GE;B282;18;6
Nord Ovest;Liguria;GE;B490;25,64;12,97
Nord Ovest;Liguria;GE;B538;8;2,25
Nord Ovest;Liguria;GE;B551;23,5;11,08
Nord Ovest;Liguria;GE;B726;12;3
Nord Ovest;Liguria;GE;B939;15,5;7,5
Nord Ovest;Liguria;GE;B956;13;9
Nord Ovest;Liguria;GE;C302;2,34;5
Nord Ovest;Liguria;GE;C481;5;4
Nord Ovest;Liguria;GE;C621;156,75;38,82
Nord Ovest;Liguria;GE;C673;2;8,8
Nord Ovest;Liguria;GE;C823;42,36;11,67
Nord Ovest;Liguria;GE;C826;25,25;8,5
Nord Ovest;Liguria;GE;C995;0;0
Nord Ovest;Liguria;GE;D175;0;5,83
Nord Ovest;Liguria;GE;D255;7,75;15,58
Nord Ovest;Liguria;GE;D509;0;0
Nord Ovest;Liguria;GE;D512;0;0
Nord Ovest;Liguria;GE;D677;0,66;1
Nord Ovest;Liguria;GE;D969;2312,07;729,1
Nord Ovest;Liguria;GE;E109;0;0
Nord Ovest;Liguria;GE;E341;1,33;5
Nord Ovest;Liguria;GE;E488;57,64;14
Nord Ovest;Liguria;GE;E519;4,5;2
Nord Ovest;Liguria;GE;E695;0;0
Nord Ovest;Liguria;GE;E737;3;1
Nord Ovest;Liguria;GE;F020;13,33;3
Nord Ovest;Liguria;GE;F098;21,05;3,6
Nord Ovest;Liguria;GE;F173;0;2
Nord Ovest;Liguria;GE;F202;11,17;9,47
Nord Ovest;Liguria;GE;F256;0;1,08
Nord Ovest;Liguria;GE;F354;40,16;8
Nord Ovest;Liguria;GE;F445;0;0
Nord Ovest;Liguria;GE;F682;2;1
Nord Ovest;Liguria;GE;F858;0;6
Nord Ovest;Liguria;GE;F862;1;1
Nord Ovest;Liguria;GE;G093;3;3
Nord Ovest;Liguria;GE;G646;17,5;4,5
Nord Ovest;Liguria;GE;G913;0;0
Nord Ovest;Liguria;GE;H073;0;1
Nord Ovest;Liguria;GE;H183;233,3;73,76
Nord Ovest;Liguria;GE;H212;38,83;16,75
Nord Ovest;Liguria;GE;H258;3;0
Nord Ovest;Liguria;GE;H536;31;14
Nord Ovest;Liguria;GE;H546;0;1
Nord Ovest;Liguria;GE;H581;7,46;6,33
Nord Ovest;Liguria;GE;H599;1,5;0
Nord Ovest;Liguria;GE;H802;9,5;1,5
Nord Ovest;Liguria;GE;I225;89,83;14
Nord Ovest;Liguria;GE;I346;32,5;20,89
Nord Ovest;Liguria;GE;I368;6;7,5
Nord Ovest;Liguria;GE;I475;2,5;13,5
Nord Ovest;Liguria;GE;I640;30,14;15,84
Nord Ovest;Liguria;GE;I693;85,67;28,84
Nord Ovest;Liguria;GE;I852;6;5,5
Nord Ovest;Liguria;GE;L167;1;1
Nord Ovest;Liguria;GE;L298;9;5,95
Nord Ovest;Liguria;GE;L416;0;2
Nord Ovest;Liguria;GE;L507;7;8
Nord Ovest;Liguria;GE;L546;0;4
Nord Ovest;Liguria;GE;M105;1;1
Nord Ovest;Liguria;GE;M182;21,33;11,04
Nord Ovest;Liguria;IM;A111;0;1
Nord Ovest;Liguria;IM;A338;0;6
Nord Ovest;Liguria;IM;A344;0;0
Nord Ovest;Liguria;IM;A418;0;1
Nord Ovest;Liguria;IM;A499;1;5
Nord Ovest;Liguria;IM;A536;1;2
Nord Ovest;Liguria;IM;A581;0;6
Nord Ovest;Liguria;IM;A984;110,17;30,27
Nord Ovest;Liguria;IM;A993;0;1
Nord Ovest;Liguria;IM;B020;0;0
Nord Ovest;Liguria;IM;B559;16,67;7,34
Nord Ovest;Liguria;IM;B734;2;2
Nord Ovest;Liguria;IM;B814;0;4
Nord Ovest;Liguria;IM;C110;1;7
Nord Ovest;Liguria;IM;C143;3;0
Nord Ovest;Liguria;IM;C511;0;17,5
Nord Ovest;Liguria;IM;C559;49;8,83
Nord Ovest;Liguria;IM;C578;1;1
Nord Ovest;Liguria;IM;C657;0;6
Nord Ovest;Liguria;IM;C660;1;6
Nord Ovest;Liguria;IM;C718;20,3;8
Nord Ovest;Liguria;IM;C755;13;4
Nord Ovest;Liguria;IM;D087;0;1
Nord Ovest;Liguria;IM;D114;7;2
Nord Ovest;Liguria;IM;D293;11;8,5
Nord Ovest;Liguria;IM;D296;20;14
Nord Ovest;Liguria;IM;D297;81,05;31
Nord Ovest;Liguria;IM;D298;2;1
Nord Ovest;Liguria;IM;D318;3;8
Nord Ovest;Liguria;IM;D319;5;7,5
Nord Ovest;Liguria;IM;E290;182,09;86,47
Nord Ovest;Liguria;IM;E346;0;2,32
Nord Ovest;Liguria;IM;E719;11,67;2,67
Nord Ovest;Liguria;IM;F123;0,5;0
Nord Ovest;Liguria;IM;F290;1;6
Nord Ovest;Liguria;IM;F406;0;1
Nord Ovest;Liguria;IM;F528;0;0
Nord Ovest;Liguria;IM;G041;0;1
Nord Ovest;Liguria;IM;G164;41,5;15
Nord Ovest;Liguria;IM;G454;3;15
Nord Ovest;Liguria;IM;G607;0;4
Nord Ovest;Liguria;IM;G632;1;7
Nord Ovest;Liguria;IM;G660;0;6
Nord Ovest;Liguria;IM;G814;8,5;0
Nord Ovest;Liguria;IM;G840;4;2
Nord Ovest;Liguria;IM;G890;0;0
Nord Ovest;Liguria;IM;H027;0;4,5
Nord Ovest;Liguria;IM;H180;0;3
Nord Ovest;Liguria;IM;H257;0;7,67
Nord Ovest;Liguria;IM;H328;27;12,79
Nord Ovest;Liguria;IM;H460;1;7
Nord Ovest;Liguria;IM;H763;45;7
Nord Ovest;Liguria;IM;H780;1,66;0
Nord Ovest;Liguria;IM;H957;9,25;8,5
Nord Ovest;Liguria;IM;I138;345,14;139,32
Nord Ovest;Liguria;IM;I365;25,75;9,25
Nord Ovest;Liguria;IM;I556;2;3
Nord Ovest;Liguria;IM;I796;0;1
Nord Ovest;Liguria;IM;L024;80,17;18
Nord Ovest;Liguria;IM;L146;0;0
Nord Ovest;Liguria;IM;L430;1;5
Nord Ovest;Liguria;IM;L596;5;9,5
Nord Ovest;Liguria;IM;L599;45,52;17,58
Nord Ovest;Liguria;IM;L693;0;2,5
Nord Ovest;Liguria;IM;L741;71,08;44,83
Nord Ovest;Liguria;IM;L809;7;1
Nord Ovest;Liguria;IM;L943;1;5
Nord Ovest;Liguria;SP;A261;28,38;15,2
Nord Ovest;Liguria;SP;A373;15;23,33
Nord Ovest;Liguria;SP;A836;5;9
Nord Ovest;Liguria;SP;A932;8;8,01
Nord Ovest;Liguria;SP;A961;16,4;7,5
Nord Ovest;Liguria;SP;A992;2;1
Nord Ovest;Liguria;SP;B214;3;0
Nord Ovest;Liguria;SP;B410;0;2
Nord Ovest;Liguria;SP;B838;1;3
Nord Ovest;Liguria;SP;B839;1;1
Nord Ovest;Liguria;SP;C240;20;7,17
Nord Ovest;Liguria;SP;D265;47,33;1,33
Nord Ovest;Liguria;SP;D655;25,5;6,5
Nord Ovest;Liguria;SP;D758;2;2
Nord Ovest;Liguria;SP;E070;2;2,14
Nord Ovest;Liguria;SP;E463;223,95;123,62
Nord Ovest;Liguria;SP;E542;60,34;33,83
Nord Ovest;Liguria;SP;E560;33;8,24
Nord Ovest;Liguria;SP;E842;0;0
Nord Ovest;Liguria;SP;F609;6,5;8,53
Nord Ovest;Liguria;SP;G143;11,17;3,08
Nord Ovest;Liguria;SP;G664;4;1
Nord Ovest;Liguria;SP;G925;12,15;11,66
Nord Ovest;Liguria;SP;H275;17;11,5
Nord Ovest;Liguria;SP;H304;1;16,67
Nord Ovest;Liguria;SP;H461;1;1
Nord Ovest;Liguria;SP;I363;75,05;11,33
Nord Ovest;Liguria;SP;I449;75,33;30,29
Nord Ovest;Liguria;SP;L681;2,06;5,28
Nord Ovest;Liguria;SP;L774;0;3,17
Nord Ovest;Liguria;SP;L819;10;12
Nord Ovest;Liguria;SP;M177;2;0,83
Nord Ovest;Liguria;SV;A122;141,35;26,87
Nord Ovest;Liguria;SV;A145;113,84;48,68
Nord Ovest;Liguria;SV;A165;87,51;7,17
Nord Ovest;Liguria;SV;A166;68,7;33,43
Nord Ovest;Liguria;SV;A226;5,33;7,5
Nord Ovest;Liguria;SV;A278;150,82;59,87
Nord Ovest;Liguria;SV;A422;1;1
Nord Ovest;Liguria;SV;A593;2;0
Nord Ovest;Liguria;SV;A647;3;1
Nord Ovest;Liguria;SV;A796;54;0
Nord Ovest;Liguria;SV;A931;20;3
Nord Ovest;Liguria;SV;A999;89,48;23,57
Nord Ovest;Liguria;SV;B005;21,5;5,33
Nord Ovest;Liguria;SV;B048;0;0
Nord Ovest;Liguria;SV;B369;37,17;20
Nord Ovest;Liguria;SV;B409;5;3
Nord Ovest;Liguria;SV;B416;6;5,34
Nord Ovest;Liguria;SV;B748;27,67;4
Nord Ovest;Liguria;SV;B927;2;1
Nord Ovest;Liguria;SV;C063;3;0,35
Nord Ovest;Liguria;SV;C276;0;1
Nord Ovest;Liguria;SV;C443;23,81;12,63
