AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Liguria;GE;A388;21,83;50,67;39,49;13;6,05;131,04
Nord Ovest;Liguria;GE;A506;0;3,5;3;2,5;1;10
Nord Ovest;Liguria;GE;A658;2;6,33;6,25;3,75;3;21,33
Nord Ovest;Liguria;GE;A922;3,08;10,17;9,5;10;3;35,75
Nord Ovest;Liguria;GE;B067;0;2;4,25;1;4;11,25
Nord Ovest;Liguria;GE;B282;0,42;12;12,5;7;4;35,92
Nord Ovest;Liguria;GE;B490;7,5;24,56;10,36;7;6;55,42
Nord Ovest;Liguria;GE;B538;3;5,33;9;2;2,22;21,55
Nord Ovest;Liguria;GE;B551;1;15,83;26,5;8,5;2;53,83
Nord Ovest;Liguria;GE;B726;3;10;5;1;4;23
Nord Ovest;Liguria;GE;B939;2;10;10,5;3;2;27,5
Nord Ovest;Liguria;GE;B956;2;15;13;4,5;10,08;44,58
Nord Ovest;Liguria;GE;C302;2;1;2;3,34;2;10,34
Nord Ovest;Liguria;GE;C481;4,5;5;3,5;1;3;17
Nord Ovest;Liguria;GE;C621;16,67;83,55;65,24;24,67;23,34;213,47
Nord Ovest;Liguria;GE;C673;0;1;2;1;2,93;6,93
Nord Ovest;Liguria;GE;C823;7;26,25;26,72;1,2;4;65,17
Nord Ovest;Liguria;GE;C826;4;18,5;8,5;8;3,17;42,17
Nord Ovest;Liguria;GE;C995;0;0;1;0;0;1
Nord Ovest;Liguria;GE;D175;4;0;7,25;2;0;13,25
Nord Ovest;Liguria;GE;D255;2;7,5;8,5;7;3;28
Nord Ovest;Liguria;GE;D509;0;1;0;0;0;1
Nord Ovest;Liguria;GE;D512;0;0;0;0;0;0
Nord Ovest;Liguria;GE;D677;1;6,66;5;0;0;12,66
Nord Ovest;Liguria;GE;D969;338,78;1906,62;1753,59;867,43;469,22;5335,64
Nord Ovest;Liguria;GE;E109;0;1;0;0;0;1
Nord Ovest;Liguria;GE;E341;3;3,67;2;0,33;1;10
Nord Ovest;Liguria;GE;E488;11,75;50,07;41,5;7,75;10;121,07
Nord Ovest;Liguria;GE;E519;1;1,5;1;0;2,5;6
Nord Ovest;Liguria;GE;E695;0;0;1;0;1;2
Nord Ovest;Liguria;GE;E737;1;6;4;1;2,33;14,33
Nord Ovest;Liguria;GE;F020;1,33;10,33;6,06;5,67;1,25;24,64
Nord Ovest;Liguria;GE;F098;1;5,5;6,55;5;2;20,05
Nord Ovest;Liguria;GE;F173;0;4;1;1;1;7
Nord Ovest;Liguria;GE;F202;1;10,17;10,34;7,5;8,17;37,18
Nord Ovest;Liguria;GE;F256;5;4;2,5;2;3,5;17
Nord Ovest;Liguria;GE;F354;2,5;25;11,5;3,66;2;44,66
Nord Ovest;Liguria;GE;F445;0;2;0;1;0;3
Nord Ovest;Liguria;GE;F682;0;8,5;5,5;6,45;3,5;23,95
Nord Ovest;Liguria;GE;F858;0;3;2,33;1;5;11,33
Nord Ovest;Liguria;GE;F862;0,5;2,33;2;0;2;6,83
Nord Ovest;Liguria;GE;G093;2;1,25;2;1,5;1;7,75
Nord Ovest;Liguria;GE;G646;1;7;7,42;4;4;23,42
Nord Ovest;Liguria;GE;G913;1;1;1;0;3;6
Nord Ovest;Liguria;GE;H073;0;0;0,33;0;0;0,33
Nord Ovest;Liguria;GE;H183;67,34;178,87;82,62;31,17;20,7;380,7
Nord Ovest;Liguria;GE;H212;5;31,64;17,92;10,33;9;73,89
Nord Ovest;Liguria;GE;H258;3,89;1;0;2,88;2,5;10,27
Nord Ovest;Liguria;GE;H536;3;18,5;27,5;5;2;56
Nord Ovest;Liguria;GE;H546;0;0;0;0;0;0
Nord Ovest;Liguria;GE;H581;0;4;6,64;5,5;3,13;19,27
Nord Ovest;Liguria;GE;H599;1;1;2;0;2,5;6,5
Nord Ovest;Liguria;GE;H802;0;9;3,5;1;4,5;18
Nord Ovest;Liguria;GE;I225;10;46,33;19,33;18;12,17;105,83
Nord Ovest;Liguria;GE;I346;2;18;16;6;6;48
Nord Ovest;Liguria;GE;I368;4;3;1;0;0,5;8,5
Nord Ovest;Liguria;GE;I475;3;6;10;5,33;3,5;27,83
Nord Ovest;Liguria;GE;I640;4;13;19,67;12;7,64;56,31
