AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Nord Est;Veneto;PD;A001;3;28,85;45,05;30,83;49,12;156,85
Nord Ovest;Lombardia;LO;A004;0;0;0;0,5;0;0,5
Nord Ovest;Lombardia;LC;A005;3;14;4;6;5,5;32,5
Centro;Toscana;SI;A006;2,33;14,27;20,68;7,11;8,97;53,36
Isole;Sardegna;OR;A007;0;0;2,5;2,42;4;8,92
Sud;Abruzzo ;PE;A008;0;0;0;1;2;3
Nord Ovest;Lombardia;MI;A010;8;83,5;73,65;36,5;19,25;220,9
Centro;Toscana;PT;A012;11;7,5;1,5;1;2;23
Sud;Basilicata;PZ;A013;2;3;2,5;0;0;7,5
Isole;Sicilia;RG;A014;5,95;1;8,14;4;1,63;20,72
Sud;Puglia;FG;A015;3,5;1;6;1;2;13,5
Nord Ovest;Piemonte;CN;A016;0;3;0;0;1;4
Sud;Basilicata;MT;A017;4;6;3;0;2;15
Sud;Abruzzo ;AQ;A018;1,5;1,13;0;1,5;1;5,13
Centro;Lazio;RI;A019;2;2;1;3,17;0,5;8,67
Sud;Basilicata;PZ;A020;1,83;5;0;1;0;7,83
Sud;Campania;SA;A023;3;3,5;4;2;1,4;13,9
Sud;Campania;NA;A024;26,04;83,01;75,73;37,78;21,28;243,84
Isole;Sicilia;CT;A025;0;1;0;5,67;8,5;15,17
Isole;Sicilia;CT;A026;9,5;31,98;43,66;22,5;16,64;124,28
Isole;Sicilia;CT;A027;3,13;22,13;73,5;27,75;20,33;146,84
Isole;Sicilia;CT;A028;18,24;55,94;130,7;83,17;56,77;344,82
Isole;Sicilia;CT;A029;4;10;26,92;20,16;24,5;85,58
Centro;Marche;MC;A031;0;0,5;0;0;0;0,5
Centro;Lazio;FR;A032;1;2;0;0;0;3
Sud;Calabria;CS;A033;0;0;0;0;1;1
Nord Ovest;Lombardia;BS;A034;0;2;4;2,17;1,84;10,01
Centro;Marche;PS;A035;0;3,67;3,5;2,5;5;14,67
Nord Ovest;Lombardia;MN;A038;0;3;1;5;10,58;19,58
Nord Ovest;Lombardia;CR;A039;0;0;0,5;3;3;6,5
Centro;Lazio;VT;A040;2,85;13;8,5;4;11,2;39,55
Sud;Calabria;CS;A041;7;3,5;7;1;2,44;20,94
Sud;Puglia;LE;A042;0,03;5,03;2,5;2;5;14,56
Sud;Calabria;VV;A043;0;0;2;0;1;3
Centro;Marche;AP;A044;0;6;3;4;2,33;15,33
Centro;Umbria;TR;A045;3;5,93;5;8,89;6,5;29,32
Centro;Marche;AP;A047;0;4,5;5,5;2,33;0,5;12,83
Sud;Puglia;BA;A048;14,5;17;41,83;26,67;33,33;133,33
Isole;Sicilia;CL;A049;3,02;2,45;2;2;3;12,47
Sud;Molise;CB;A050;2;1;2;1;0;6
Sud;Molise;IS;A051;1;0;0;0;0;1
Nord Ovest;Piemonte;AL;A052;9,34;54,92;46,22;21,84;25,67;157,99
Sud;Calabria;CS;A053;2;4;13,5;17;6,33;42,83
Centro;Lazio;FR;A054;1,67;2;4;1;1;9,67
Sud;Puglia;BA;A055;14;24,43;38,17;37;20;133,6
Isole;Sicilia;CT;A056;21,5;37,94;42,87;27,71;26,83;156,85
Nord Ovest;Lombardia;BG;A057;1;3;3;3,5;2,5;13
Nord Ovest;Lombardia;BG;A058;0;0;1;0;0;1
Nord Est;Veneto;RO;A059;13;40,67;46,33;30,22;28,25;158,47
Nord Ovest;Lombardia;BS;A060;1;10;8,5;6,5;10,5;36,5
Nord Est;Veneto;VR;A061;1;3;3,5;1;3;11,5
Centro;Lazio;RM;A062;4;2,5;2;2;0;10,5
Sud;Campania;NA;A064;42,12;54,8;56,11;43,68;15,5;212,21
Sud;Calabria;RC;A065;0;1;0;2;0;3
Nord Est;Emilia-Romagna;PC;A067;0,5;3;5,25;1,38;5;15,13
Sud;Campania;NA;A068;4;12,67;7,17;5;0,84;29,68
Isole;Sardegna;SS;A069;2;1;0;0;0;3
Isole;Sicilia;EN;A070;13,88;8,4;8,33;5,41;3,8;39,82
Centro;Toscana;PT;A071;0;51,58;38;14;25,33;128,91
Nord Ovest;Piemonte;AT;A072;1,67;2;3;3,5;5;15,17
Nord Ovest;Piemonte;TO;A074;2,67;5,83;6,25;3,5;4;22,25
Nord Est;Veneto;PD;A075;0,22;3,11;1;8;3,44;15,77
Nord Ovest;Lombardia;CR;A076;0;11,2;2;2,94;7,5;23,64
Sud;Calabria;RC;A077;4;0;0;1;1;6
Sud;Molise;IS;A080;2;2;2;0,21;4,56;10,77
Centro;Lazio;FR;A081;1;1;1;0;0;3
Nord Ovest;Lombardia;BS;A082;0,25;3,33;4,5;1;2,5;11,58
Nord Est;Veneto;BL;A083;7,08;11;16,5;12,41;6;52,99
Centro;Lazio;RM;A084;1;4,78;0;3;1,5;10,28
Nord Ovest;Lombardia;VA;A085;0;9;2;0;4,67;15,67
Nord Ovest;Lombardia;MI;A087;10;57,01;52,8;18,75;19,25;157,81
Nord Ovest;Piemonte;NO;A088;1;1;2;4;6,33;14,33
Isole;Sicilia;AG;A089;36,75;66,09;89,84;90,56;63,53;346,77
Sud;Campania;SA;A091;20,33;49,75;53,32;26,1;24,33;173,83
Centro;Marche;AN;A092;0;8,5;6,5;4,58;5,5;25,08
Nord Est;Veneto;VI;A093;0;1;2;2;3,5;8,5
Nord Ovest;Valle d'Aosta;AO;A094;8,5;13,25;3;3,5;2;30,25
Nord Ovest;Lombardia;MI;A096;0;3;4;3,92;3,21;14,13
Isole;Sardegna;OR;A097;0;0;0;0;0;0
Isole;Sicilia;EN;A098;3;7;7,5;8;6;31,5
Sud;Abruzzo ;AQ;A100;0;0;0;3;1;4
Sud;Campania;AV;A101;1;1;7;2;7;18
Sud;Calabria;CS;A102;0;1,75;0;0,5;0;2,25
Sud;Calabria;CS;A105;0;0;1;0;1;2
Sud;Campania;CE;A106;0;0;1;0;2;3
Nord Ovest;Piemonte;BI;A107;0;1;0;1;0;2
Nord Ovest;Valle d'Aosta;AO;A108;1;2;3,22;0;1;7,22
Nord Ovest;Piemonte;TO;A109;2;5;5,5;3;6;21,5
Sud;Campania;BN;A110;4;3,5;7;10;12,5;37
Nord Ovest;Liguria;IM;A111;3;5;2;0;0;10
Nord Ovest;Lombardia;LC;A112;0;9;7,58;4,42;0;21
Nord Ovest;Piemonte;CN;A113;1;1;1,34;0;0;3,34
Isole;Sardegna;SS;A115;0;0;0;1;1;2
Nord Ovest;Piemonte;TO;A117;1;4;1;1;2;9
Nord Ovest;Lombardia;PV;A118;0;0;2;1;3;6
Nord Ovest;Piemonte;VC;A119;7,5;10;3;1;2;23,5
Sud;Abruzzo ;PE;A120;0;3;3;6;2;14
Nord Est;Veneto;BL;A121;1,83;1;8,3;1;1;13,13
Nord Ovest;Liguria;SV;A122;15,5;91,38;38,99;18,49;11,5;175,86
Centro;Lazio;FR;A123;4;10,05;25;19,26;21,33;79,64
Nord Ovest;Piemonte;CN;A124;30,5;93,36;84,5;43;30,5;281,86
Sud;Abruzzo ;TE;A125;40,33;134,5;38,6;14,5;8;235,93
Isole;Sardegna;OR;A126;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;1;14,5;12;8;2,25;37,75
Sud;Campania;SA;A128;1;2;3;6,17;2;14,17
Nord Ovest;Lombardia;BG;A129;1,67;22;21;16,59;7,7;68,96
Nord Ovest;Piemonte;VC;A130;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;2;0;0;0;2;4
