AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Liguria;GE;A388;8;64,27;53,17;19,25;12,16;156,85
Nord Ovest;Liguria;GE;A506;0;8,99;5;4;3,33;21,32
Nord Ovest;Liguria;GE;A658;1,33;9;9,33;3;6,5;29,16
Nord Ovest;Liguria;GE;A922;5;25;13;10,5;4;57,5
Nord Ovest;Liguria;GE;B067;2;4;6;4,5;3;19,5
Nord Ovest;Liguria;GE;B282;1;6;22,5;12;2;43,5
Nord Ovest;Liguria;GE;B490;10,8;36,5;27,67;5,51;4;84,48
Nord Ovest;Liguria;GE;B538;0;5,67;4,72;0,42;2;12,81
Nord Ovest;Liguria;GE;B551;3,66;15,6;12,85;10;3,5;45,61
Nord Ovest;Liguria;GE;B726;5;7;11;6;3;32
Nord Ovest;Liguria;GE;B939;2,5;22,25;17;10,5;6,5;58,75
Nord Ovest;Liguria;GE;B956;3;7;14,5;4,5;5;34
Nord Ovest;Liguria;GE;C302;0;2,67;3;1;4;10,67
Nord Ovest;Liguria;GE;C481;1,5;4,83;8;7,33;5;26,66
Nord Ovest;Liguria;GE;C621;26,67;138,36;120,8;47,41;33,5;366,74
Nord Ovest;Liguria;GE;C673;0;2,5;5,17;3,75;3,33;14,75
Nord Ovest;Liguria;GE;C823;20,06;59,69;29,5;7;6,44;122,69
Nord Ovest;Liguria;GE;C826;2,5;18;12,5;6;7;46
Nord Ovest;Liguria;GE;C995;0;0;0;1;0;1
Nord Ovest;Liguria;GE;D175;0;5;7;0;4;16
Nord Ovest;Liguria;GE;D255;6,6;11;6;5;2,33;30,93
Nord Ovest;Liguria;GE;D509;0;0;1;0;0;1
Nord Ovest;Liguria;GE;D512;0;1;0;0;0;1
Nord Ovest;Liguria;GE;D677;1;3,5;1;0;0;5,5
Nord Ovest;Liguria;GE;D969;355,67;2509,74;2254,89;907,62;589,41;6617,33
Nord Ovest;Liguria;GE;E109;1;1,5;0;0;0;2,5
Nord Ovest;Liguria;GE;E341;1;6,5;4;2,67;2,09;16,26
Nord Ovest;Liguria;GE;E488;35,65;73,28;48,44;13,27;13,5;184,14
Nord Ovest;Liguria;GE;E519;2;5;2,5;3;4,93;17,43
Nord Ovest;Liguria;GE;E695;0;0;0;1,5;1,11;2,61
Nord Ovest;Liguria;GE;E737;0;5,5;6;3;0;14,5
Nord Ovest;Liguria;GE;F020;2;6,67;3,75;3;2;17,42
Nord Ovest;Liguria;GE;F098;0;7;8,33;2;1;18,33
Nord Ovest;Liguria;GE;F173;1;2;5;0;2;10
Nord Ovest;Liguria;GE;F202;1;12;8,5;5,17;8,83;35,5
Nord Ovest;Liguria;GE;F256;0;9;7,75;1,5;3,42;21,67
Nord Ovest;Liguria;GE;F354;10;25,34;11,56;1;4;51,9
Nord Ovest;Liguria;GE;F445;1;1;1;1;1;5
Nord Ovest;Liguria;GE;F682;0;10;8,42;6;8;32,42
Nord Ovest;Liguria;GE;F858;2;2;1;3;5;13
Nord Ovest;Liguria;GE;F862;0;5;2;0;2,5;9,5
Nord Ovest;Liguria;GE;G093;0;0;0;0;0,5;0,5
Nord Ovest;Liguria;GE;G646;2;10;9;4;6;31
Nord Ovest;Liguria;GE;G913;1,2;3,2;0;1,7;1;7,1
Nord Ovest;Liguria;GE;H073;0,42;1,36;0;0;0;1,78
Nord Ovest;Liguria;GE;H183;81,06;208,99;96,91;30,33;25,47;442,76
Nord Ovest;Liguria;GE;H212;10,5;57,19;29,11;13;4;113,8
Nord Ovest;Liguria;GE;H258;0;0;2;0;1,5;3,5
Nord Ovest;Liguria;GE;H536;1;5,5;14,5;7;9,5;37,5
Nord Ovest;Liguria;GE;H546;0;1;2;0;0;3
Nord Ovest;Liguria;GE;H581;1;5,83;6,83;4,83;0;18,49
Nord Ovest;Liguria;GE;H599;1;4;4;1;1;11
Nord Ovest;Liguria;GE;H802;0,33;6;4;3;5,06;18,39
Nord Ovest;Liguria;GE;I225;10,66;49,38;45,5;25,17;20,67;151,38
Nord Ovest;Liguria;GE;I346;3;12,25;17,25;6,5;7;46
Nord Ovest;Liguria;GE;I368;7;8;8;1;2;26
Nord Ovest;Liguria;GE;I475;0;8,72;5,5;3;8;25,22
Nord Ovest;Liguria;GE;I640;5,85;23,33;24;9;9,5;71,68
Nord Ovest;Liguria;GE;I693;22;93,67;51,1;19,33;4;190,1
Nord Ovest;Liguria;GE;I852;10,33;24,6;13,5;8,5;2;58,93
Nord Ovest;Liguria;GE;L167;2;4;1,5;2,13;0;9,63
Nord Ovest;Liguria;GE;L298;11,5;15,95;8;7;3;45,45
Nord Ovest;Liguria;GE;L416;0,67;0,67;0,67;0;0;2,01
Nord Ovest;Liguria;GE;L507;0;3,19;8;6,47;1;18,66
Nord Ovest;Liguria;GE;L546;0,67;8,5;3,09;0,5;3;15,76
Nord Ovest;Liguria;GE;M105;0;2;1;3;2;8
Nord Ovest;Liguria;GE;M182;6;12,05;8,13;6,5;3,5;36,18
Nord Ovest;Liguria;IM;A111;4;10,25;2,25;1,25;2;19,75
Nord Ovest;Liguria;IM;A338;9;6,5;5;1,5;2;24
Nord Ovest;Liguria;IM;A344;0;0;1;0;0;1
Nord Ovest;Liguria;IM;A418;0;0;1;0;1;2
Nord Ovest;Liguria;IM;A499;0;1;0;0;0;1
Nord Ovest;Liguria;IM;A536;11;4;10;1,67;0;26,67
Nord Ovest;Liguria;IM;A581;0;6;3;0;1;10
Nord Ovest;Liguria;IM;A984;58,5;90,75;35,73;14,17;12;211,15
Nord Ovest;Liguria;IM;A993;0;0;1;0;4,5;5,5
Nord Ovest;Liguria;IM;B020;2;3,5;0;2;1;8,5
Nord Ovest;Liguria;IM;B559;7;23,5;10;4,75;6,5;51,75
Nord Ovest;Liguria;IM;B734;0;3;0;1;0;4
Nord Ovest;Liguria;IM;B814;0;0;0;0;1;1
Nord Ovest;Liguria;IM;C110;1;1;1;0;0;3
Nord Ovest;Liguria;IM;C143;8;5;3;1;4;21
Nord Ovest;Liguria;IM;C511;10,67;9,17;1;1;1;22,84
Nord Ovest;Liguria;IM;C559;7;25;6;3;1;42
Nord Ovest;Liguria;IM;C578;0;2;0;0;0,5;2,5
Nord Ovest;Liguria;IM;C657;3;1;3;0;2;9
Nord Ovest;Liguria;IM;C660;1;0;1,5;1;0;3,5
Nord Ovest;Liguria;IM;C718;10;8;3;4;5;30
Nord Ovest;Liguria;IM;C755;3,5;1;2;3;1;10,5
Nord Ovest;Liguria;IM;D087;0;2,22;0;0;0;2,22
Nord Ovest;Liguria;IM;D114;3;9;7,33;0;2;21,33
Nord Ovest;Liguria;IM;D293;6;7,5;1;1;2;17,5
Nord Ovest;Liguria;IM;D296;10;19,5;2,5;1;3;36
Nord Ovest;Liguria;IM;D297;47,55;76,48;21,5;9,8;2,1;157,43
Nord Ovest;Liguria;IM;D298;2;3;1;0;4;10
Nord Ovest;Liguria;IM;D318;7;11;7;1,5;5;31,5
Nord Ovest;Liguria;IM;D319;3;4;7;1;4,33;19,33
Nord Ovest;Liguria;IM;E290;56,73;175,84;125,14;51,5;43,15;452,36
Nord Ovest;Liguria;IM;E346;3;6,5;3;0;0,25;12,75
Nord Ovest;Liguria;IM;E719;0;0;4;0;0;4
Nord Ovest;Liguria;IM;F123;5;2;1;0;0;8
Nord Ovest;Liguria;IM;F290;4;4;7;3;2;20
Nord Ovest;Liguria;IM;F406;3;1;2;3;1;10
Nord Ovest;Liguria;IM;F528;1;0;0;0;0;1
Nord Ovest;Liguria;IM;G041;4;0,25;2;0;0;6,25
Nord Ovest;Liguria;IM;G164;26;41,5;17,06;9;3,5;97,06
Nord Ovest;Liguria;IM;G454;5,85;5;7;0;3;20,85
Nord Ovest;Liguria;IM;G607;0;5;2;1;0;8
Nord Ovest;Liguria;IM;G632;2;7;7;2;1,5;19,5
Nord Ovest;Liguria;IM;G660;4;2;3;1;1,5;11,5
Nord Ovest;Liguria;IM;G814;5;5;0;1;2;13
Nord Ovest;Liguria;IM;G840;4,4;4;3,5;3;2;16,9
Nord Ovest;Liguria;IM;G890;1;1;4,33;1;2,5;9,83
Nord Ovest;Liguria;IM;H027;0;1;3;3;0,5;7,5
Nord Ovest;Liguria;IM;H180;0;2;2;2;0;6
Nord Ovest;Liguria;IM;H257;1;4;6,5;0;1;12,5
Nord Ovest;Liguria;IM;H328;12;26;8;2,33;1;49,33
Nord Ovest;Liguria;IM;H460;1;1;0;0;0;2
Nord Ovest;Liguria;IM;H763;38,33;45,17;11;2;1;97,5
Nord Ovest;Liguria;IM;H780;2;5;2;0;1;10
Nord Ovest;Liguria;IM;H957;6,25;11,89;5;2;0;25,14
Nord Ovest;Liguria;IM;I138;187,03;300,28;141,52;67,75;35,15;731,73
Nord Ovest;Liguria;IM;I365;19;14,66;5;1;0;39,66
Nord Ovest;Liguria;IM;I556;5;2;2;2;1;12
Nord Ovest;Liguria;IM;I796;3;5;1;3;2;14
Nord Ovest;Liguria;IM;L024;29,09;66,47;23;6;5,17;129,73
Nord Ovest;Liguria;IM;L146;2;0;2,5;1;0;5,5
Nord Ovest;Liguria;IM;L430;2,5;5;0;1,5;0;9
