Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Nord Est";"Veneto";"PD";"A001";6,000000;22,500000;8,500000;0,000000;0,000000;0,000000;1,000000;3,000000;0,000000
"Nord Ovest";"Lombardia";"LO";"A004";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"LC";"A005";0,000000;3,000000;0,080000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Toscana";"SI";"A006";4,500000;5,500000;6,260000;0,000000;0,000000;0,000000;1,000000;4,000000;0,000000
"Isole";"Sardegna";"OR";"A007";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Abruzzo ";"PE";"A008";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"MI";"A010";7,000000;14,000000;7,800000;0,000000;0,000000;0,000000;4,000000;12,000000;0,670000
"Sud";"Basilicata";"PZ";"A013";0,000000;0,670000;4,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"RG";"A014";0,000000;1,000000;3,000000;0,000000;0,000000;0,000000;0,500000;5,000000;15,580000
"Sud";"Puglia";"FG";"A015";0,000000;2,000000;4,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"CN";"A016";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Basilicata";"MT";"A017";0,000000;1,000000;2,500000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Abruzzo ";"AQ";"A018";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Lazio";"RI";"A019";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Basilicata";"PZ";"A020";0,000000;0,000000;4,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Sud";"Campania";"SA";"A023";0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"NA";"A024";5,010000;23,200000;47,570000;0,000000;0,000000;0,000000;1,000000;4,010000;0,000000
"Isole";"Sicilia";"CT";"A025";0,000000;1,000000;0,920000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"CT";"A026";3,000000;3,000000;14,160000;0,000000;2,000000;0,000000;0,000000;1,000000;0,000000
"Isole";"Sicilia";"CT";"A027";1,000000;6,110000;29,290000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Isole";"Sicilia";"CT";"A028";2,000000;24,440000;55,740000;0,000000;0,000000;0,000000;0,000000;2,000000;0,160000
"Isole";"Sicilia";"CT";"A029";3,000000;6,000000;21,500000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Centro";"Lazio";"FR";"A032";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Calabria";"CS";"A033";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"BS";"A034";0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;2,000000;1,000000
"Centro";"Marche";"PS";"A035";0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"MN";"A038";0,000000;2,000000;1,000000;0,000000;0,000000;0,000000;0,000000;2,000000;0,500000
"Nord Ovest";"Lombardia";"CR";"A039";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Lazio";"VT";"A040";0,000000;1,000000;13,500000;0,000000;0,000000;0,000000;0,000000;3,000000;3,000000
"Sud";"Calabria";"CS";"A041";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"LE";"A042";0,000000;3,000000;7,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Calabria";"VV";"A043";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Marche";"AP";"A044";0,000000;1,000000;4,660000;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000
"Centro";"Umbria";"TR";"A045";1,000000;4,000000;7,330000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Centro";"Marche";"AP";"A047";0,000000;1,000000;12,000000;0,000000;1,000000;0,000000;0,000000;1,000000;0,000000
"Sud";"Puglia";"BA";"A048";1,000000;7,500000;18,610000;0,000000;0,000000;0,000000;1,000000;9,080000;1,000000
"Isole";"Sicilia";"CL";"A049";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Molise";"CB";"A050";0,000000;0,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Molise";"IS";"A051";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A052";4,000000;13,340000;28,670000;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000
"Sud";"Calabria";"CS";"A053";0,000000;4,000000;19,500000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Lazio";"FR";"A054";0,000000;0,000000;4,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
