Area;Regione;prov;2017_CodCom;NTN_2017_Box;NTN_2017_Depositi_Pert
"Nord Est";"Veneto";"PD";"A001";252,960000;8,200000
"Nord Ovest";"Lombardia";"LO";"A004";0,000000;0,000000
"Nord Ovest";"Lombardia";"LC";"A005";43,840000;12,610000
"Centro";"Toscana";"SI";"A006";29,000000;13,220000
"Isole";"Sardegna";"OR";"A007";0,000000;0,000000
"Sud";"Abruzzo ";"PE";"A008";0,000000;3,000000
"Nord Ovest";"Lombardia";"MI";"A010";278,610000;34,060000
"Sud";"Basilicata";"PZ";"A013";1,000000;2,500000
"Isole";"Sicilia";"RG";"A014";8,000000;4,160000
"Sud";"Puglia";"FG";"A015";5,000000;2,000000
"Nord Ovest";"Piemonte";"CN";"A016";1,000000;0,140000
"Sud";"Basilicata";"MT";"A017";16,500000;5,000000
"Sud";"Abruzzo ";"AQ";"A018";0,000000;1,000000
"Centro";"Lazio";"RI";"A019";1,000000;2,000000
"Sud";"Basilicata";"PZ";"A020";1,870000;4,990000
"Sud";"Campania";"SA";"A023";4,000000;0,000000
"Sud";"Campania";"NA";"A024";170,500000;36,000000
"Isole";"Sicilia";"CT";"A025";6,000000;0,000000
"Isole";"Sicilia";"CT";"A026";94,850000;14,000000
"Isole";"Sicilia";"CT";"A027";122,130000;6,400000
"Isole";"Sicilia";"CT";"A028";201,880000;36,910000
"Isole";"Sicilia";"CT";"A029";60,330000;14,000000
"Centro";"Lazio";"FR";"A032";0,000000;0,000000
"Sud";"Calabria";"CS";"A033";0,000000;1,000000
"Nord Ovest";"Lombardia";"BS";"A034";4,500000;2,000000
"Centro";"Marche";"PS";"A035";7,500000;1,000000
"Nord Ovest";"Lombardia";"MN";"A038";10,000000;1,000000
"Nord Ovest";"Lombardia";"CR";"A039";2,000000;0,000000
"Centro";"Lazio";"VT";"A040";15,500000;11,500000
"Sud";"Calabria";"CS";"A041";1,000000;3,000000
"Sud";"Puglia";"LE";"A042";2,000000;0,000000
"Sud";"Calabria";"VV";"A043";1,000000;0,000000
"Centro";"Marche";"AP";"A044";6,660000;3,000000
"Centro";"Umbria";"TR";"A045";13,000000;2,000000
"Centro";"Marche";"AP";"A047";15,850000;2,960000
"Sud";"Puglia";"BA";"A048";82,050000;24,800000
"Isole";"Sicilia";"CL";"A049";0,000000;0,000000
"Sud";"Molise";"CB";"A050";0,000000;1,000000
"Sud";"Molise";"IS";"A051";0,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A052";143,600000;37,000000
"Sud";"Calabria";"CS";"A053";10,000000;8,370000
"Centro";"Lazio";"FR";"A054";0,000000;5,000000
"Sud";"Puglia";"BA";"A055";67,300000;20,500000
"Isole";"Sicilia";"CT";"A056";72,890000;27,600000
"Nord Ovest";"Lombardia";"BG";"A057";11,500000;1,500000
"Nord Ovest";"Lombardia";"BG";"A058";3,000000;0,000000
"Nord Est";"Veneto";"RO";"A059";102,500000;11,690000
"Nord Ovest";"Lombardia";"BS";"A060";65,110000;5,000000
"Nord Est";"Veneto";"VR";"A061";34,000000;4,000000
"Centro";"Lazio";"RM";"A062";2,000000;4,530000
"Sud";"Campania";"NA";"A064";43,360000;20,400000
"Sud";"Calabria";"RC";"A065";0,000000;0,000000
"Nord Est";"Emilia-Romagna";"PC";"A067";12,130000;3,000000
"Sud";"Campania";"NA";"A068";25,800000;8,300000
"Isole";"Sardegna";"SS";"A069";0,000000;1,000000
"Isole";"Sicilia";"EN";"A070";19,800000;14,280000
"Centro";"Toscana";"PT";"A071";113,940000;6,300000
"Nord Ovest";"Piemonte";"AT";"A072";8,500000;0,170000
"Nord Ovest";"Piemonte";"TO";"A074";11,750000;0,750000
"Nord Est";"Veneto";"PD";"A075";9,750000;3,000000
"Nord Ovest";"Lombardia";"CR";"A076";33,750000;0,000000
"Sud";"Calabria";"RC";"A077";0,000000;0,000000
"Sud";"Molise";"IS";"A080";4,500000;1,000000
"Centro";"Lazio";"FR";"A081";0,000000;0,000000
"Nord Ovest";"Lombardia";"BS";"A082";5,500000;0,000000
"Nord Est";"Veneto";"BL";"A083";33,060000;4,000000
"Centro";"Lazio";"RM";"A084";6,760000;4,670000
"Nord Ovest";"Lombardia";"VA";"A085";13,000000;2,000000
"Nord Ovest";"Lombardia";"MI";"A087";166,000000;22,420000
"Nord Ovest";"Piemonte";"NO";"A088";21,500000;0,500000
"Isole";"Sicilia";"AG";"A089";36,310000;48,170000
"Sud";"Campania";"SA";"A091";69,920000;14,690000
"Centro";"Marche";"AN";"A092";18,830000;0,830000
"Nord Est";"Veneto";"VI";"A093";11,000000;0,000000
