Area;Regione;prov;2017_CodCom;NTN 2017 fino a 50 mq;NTN  2017 50 -| 85 mq;NTN  2017 85 -| 115 mq;NTN  2017 115 -| 145 mq;NTN   2017 oltre 145 mq;NTN 2017
"Nord Est";"Veneto";"PD";"A001";9,320000;51,170000;72,000000;42,060000;76,310000;250,860000
"Nord Ovest";"Lombardia";"LO";"A004";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"LC";"A005";5,170000;23,330000;11,670000;3,000000;2,000000;45,170000
"Centro";"Toscana";"SI";"A006";5,330000;17,670000;14,330000;14,670000;4,000000;56,000000
"Isole";"Sardegna";"OR";"A007";0,000000;9,000000;0,000000;1,000000;5,000000;15,000000
"Sud";"Abruzzo ";"PE";"A008";3,000000;1,000000;0,000000;4,000000;1,000000;9,000000
"Nord Ovest";"Lombardia";"MI";"A010";14,560000;159,420000;105,000000;44,470000;31,000000;354,450000
"Sud";"Basilicata";"PZ";"A013";0,000000;1,000000;1,000000;0,000000;2,000000;4,000000
"Isole";"Sicilia";"RG";"A014";7,750000;10,500000;9,500000;7,000000;1,920000;36,670000
"Sud";"Puglia";"FG";"A015";2,000000;4,000000;9,000000;1,000000;0,000000;16,000000
"Nord Ovest";"Piemonte";"CN";"A016";1,000000;2,000000;1,500000;0,000000;2,500000;7,000000
"Sud";"Basilicata";"MT";"A017";7,500000;5,780000;5,500000;1,000000;0,000000;19,780000
"Sud";"Abruzzo ";"AQ";"A018";1,000000;1,000000;2,000000;0,000000;0,000000;4,000000
"Centro";"Lazio";"RI";"A019";0,000000;0,250000;0,250000;1,000000;0,000000;1,500000
"Sud";"Basilicata";"PZ";"A020";1,000000;1,200000;4,330000;0,000000;0,000000;6,530000
"Sud";"Campania";"SA";"A023";4,000000;4,000000;3,000000;1,500000;1,000000;13,500000
"Sud";"Campania";"NA";"A024";20,170000;97,830000;99,420000;59,160000;39,890000;316,470000
"Isole";"Sicilia";"CT";"A025";0,000000;2,670000;11,000000;4,000000;1,000000;18,670000
"Isole";"Sicilia";"CT";"A026";17,000000;41,230000;53,010000;20,750000;28,670000;160,660000
"Isole";"Sicilia";"CT";"A027";2,400000;19,670000;72,070000;37,050000;24,850000;156,040000
"Isole";"Sicilia";"CT";"A028";20,500000;81,500000;116,300000;71,740000;57,750000;347,790000
"Isole";"Sicilia";"CT";"A029";4,000000;14,500000;37,860000;28,330000;37,500000;122,190000
"Centro";"Lazio";"FR";"A032";1,000000;0,000000;2,000000;1,750000;0,000000;4,750000
"Sud";"Calabria";"CS";"A033";0,000000;0,780000;1,000000;0,000000;0,000000;1,780000
"Nord Ovest";"Lombardia";"BS";"A034";0,000000;3,000000;1,000000;2,000000;1,500000;7,500000
"Centro";"Marche";"PS";"A035";0,000000;5,250000;6,500000;7,000000;4,250000;23,000000
"Nord Ovest";"Lombardia";"MN";"A038";0,000000;0,000000;3,000000;4,000000;10,000000;17,000000
"Nord Ovest";"Lombardia";"CR";"A039";0,000000;1,000000;1,000000;1,000000;1,000000;4,000000
"Centro";"Lazio";"VT";"A040";3,000000;6,000000;6,250000;3,000000;12,000000;30,250000
"Sud";"Calabria";"CS";"A041";7,000000;7,000000;5,000000;0,500000;4,000000;23,500000
"Sud";"Puglia";"LE";"A042";1,000000;2,000000;7,330000;4,720000;8,000000;23,050000
"Sud";"Calabria";"VV";"A043";3,000000;3,000000;0,000000;6,000000;2,000000;14,000000
"Centro";"Marche";"AP";"A044";1,000000;2,000000;7,000000;2,000000;1,330000;13,330000
"Centro";"Umbria";"TR";"A045";1,000000;10,000000;4,330000;10,000000;6,000000;31,330000
"Centro";"Marche";"AP";"A047";3,000000;5,520000;7,000000;5,000000;9,000000;29,520000
"Sud";"Puglia";"BA";"A048";4,000000;18,000000;35,340000;54,880000;33,210000;145,430000
"Isole";"Sicilia";"CL";"A049";0,000000;4,000000;0,000000;2,000000;3,000000;9,000000
"Sud";"Molise";"CB";"A050";2,000000;1,000000;0,000000;1,000000;0,000000;4,000000
"Sud";"Molise";"IS";"A051";0,000000;1,000000;0,140000;0,000000;0,000000;1,140000
"Nord Ovest";"Piemonte";"AL";"A052";14,000000;80,980000;75,870000;41,790000;42,340000;254,980000
"Sud";"Calabria";"CS";"A053";4,000000;7,500000;11,000000;16,500000;8,000000;47,000000
"Centro";"Lazio";"FR";"A054";5,000000;3,000000;3,500000;2,000000;4,000000;17,500000
"Sud";"Puglia";"BA";"A055";8,340000;24,500000;43,000000;25,970000;27,000000;128,810000
"Isole";"Sicilia";"CT";"A056";30,670000;39,140000;43,720000;38,420000;29,430000;181,380000
"Nord Ovest";"Lombardia";"BG";"A057";3,000000;3,500000;6,000000;2,000000;4,000000;18,500000
"Nord Ovest";"Lombardia";"BG";"A058";0,000000;1,000000;1,000000;2,000000;2,000000;6,000000
"Nord Est";"Veneto";"RO";"A059";7,000000;41,000000;45,250000;35,110000;28,170000;156,530000
"Nord Ovest";"Lombardia";"BS";"A060";1,000000;16,140000;18,670000;17,000000;14,780000;67,590000
