AREA;Regione;prov;2018_CodCom;NTN_2018_Uffici;NTN_2018_Negozi_Lab;NTN_2018_Depositi_Comm_Autorimesse;NTN_2018_TCO_B04;NTN_2018_TCO_D02;NTN_2018_TCO_D05;NTN_2018_TCO_D08;NTN_2018_PRO;NTN_2018_AGR
Nord Est;Veneto;PD;A001;6;13;16,17;0;1;0;0;0;1
Nord Ovest;Lombardia;LO;A004;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A005;0;1;4;0;0;0;0;1;0
Centro;Toscana;SI;A006;0;7,5;3,86;0;0;0;0;1;0
Isole;Sardegna;OR;A007;0;3;2;0;0;0;0;1;0
Sud;Abruzzo;PE;A008;0;1;1;0;0;0;0;1;0
Nord Ovest;Lombardia;MI;A010;5;20,98;18,16;0;0;0;2,18;7,69;0
Sud;Basilicata;PZ;A013;0;1;7;0;0;0;0;0;0
Isole;Sicilia;RG;A014;0;2;4;0;0;0;0;3;10,34
Sud;Puglia;FG;A015;1;0;7;0;0;0;3;0;0
Nord Ovest;Piemonte;CN;A016;0;0;1;0;0;0;0;0;0
Sud;Basilicata;MT;A017;0;1;7,75;0;0;0;0;0;0
Sud;Abruzzo;AQ;A018;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A019;0;0;0;0;0;0;0;0;0
Sud;Basilicata;PZ;A020;0;0;4,34;0;0;0;0;1;0
Sud;Campania;SA;A023;0;1;2;0;0;0;0;0;0
Sud;Campania;NA;A024;2;20,5;46,08;0;0;0;0;4;0
Isole;Sicilia;CT;A025;1;2;1,67;0;0;0;0;0;0
Isole;Sicilia;CT;A026;1;2;17,32;0;0,08;0;1;0;0
Isole;Sicilia;CT;A027;0;9,31;14,89;0;0;0;0;0;0
Isole;Sicilia;CT;A028;0;33,71;64,61;0;0;0;1;2,08;0
Isole;Sicilia;CT;A029;1;4;24,23;0;0;0;0;1;0
Centro;Lazio;FR;A032;0;0;0;0;0;0;0;0;0
Sud;Calabria;CS;A033;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;0;1;0;0;0;0;1;1;1
Centro;Marche;PS;A035;0;1;6,5;0;0;0;0;3;2
Nord Ovest;Lombardia;MN;A038;0;2;0,76;0;0;0;0;1;0
Nord Ovest;Lombardia;CR;A039;0;0;0;0;0;0;0;2;0
Centro;Lazio;VT;A040;0;0;19,42;0;0;0;0;1;4
Sud;Calabria;CS;A041;0;0;0;0;1;0;0;0;0
Sud;Puglia;LE;A042;1;3;4,5;0;0;0;0;0;0
Sud;Calabria;VV;A043;0;0;3;0;0;0;0;0;0
Centro;Marche;AP;A044;0;2;1,5;0;0;0;0;1;0
Centro;Umbria;TR;A045;0;1;5,2;0;0;0;0;0;0
Centro;Marche;AP;A047;0;0;7,5;0;0;0;0;1;0
Sud;Puglia;BA;A048;0,83;5;33,67;0;0;1;0;2,5;3
Isole;Sicilia;CL;A049;0;0;4;0;0;0;0;0;0
Sud;Molise;CB;A050;0;1;1;0;0;0;0;0;0
Sud;Molise;IS;A051;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A052;1,5;16;19,54;0;0;1;1;0,3;0
Sud;Calabria;CS;A053;1;4,5;20,33;0;0;0;0;0;0
Centro;Lazio;FR;A054;0;0;1;0;0;0;0;0;0
Sud;Puglia;BA;A055;1;2;27,5;0;0;0;0;6;0
Isole;Sicilia;CT;A056;0;17,15;42,63;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A057;1;1;4,34;0;0;0;0;4;0
Nord Ovest;Lombardia;BG;A058;0;0;0,17;0;0;0;0;0;0
Nord Est;Veneto;RO;A059;5,5;11,5;21;0;0;0;0;3,03;0
Nord Ovest;Lombardia;BS;A060;8;2,04;7,6;0;0;0;1;7,11;0
Nord Est;Veneto;VR;A061;3;2;2;0;0;0;0;2;0
Centro;Lazio;RM;A062;0;1;1,17;0;0;0;0;0;0
Sud;Campania;NA;A064;0;23,38;41,4;0;0;0;0,2;4;0
Sud;Calabria;RC;A065;0;0;0;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PC;A067;0,5;3;8,17;0;0;0;0;0;6,84
Sud;Campania;NA;A068;0;0;8,5;0;0;0;0;3;0
Isole;Sardegna;SS;A069;0;0;3,17;0;0;0;0;0;0
Isole;Sicilia;EN;A070;0;5;10,88;0;0;0;0;2;0
Centro;Toscana;PT;A071;1;7,25;9,44;0;0;0;0;3;0
Nord Ovest;Piemonte;AT;A072;0;1;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A074;0;0;5;0;0;0;3;1;0
Nord Est;Veneto;PD;A075;0;2;2,36;0;0;0;3;1;0,77
Nord Ovest;Lombardia;CR;A076;0;1;3;0;0;0;0;0;0
Sud;Calabria;RC;A077;0;0;0;0;0;0;0;0;0
Sud;Molise;IS;A080;0;1;6,42;0;0;0;0;2;0
Centro;Lazio;FR;A081;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A082;0;1;4,55;0;0;0;0;2;0
Nord Est;Veneto;BL;A083;1;5;8,5;0;0;0;0;0,09;0
Centro;Lazio;RM;A084;0;0;0,75;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A085;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A087;10;6;9;0;0;0;1;5;0
Nord Ovest;Piemonte;NO;A088;0;0;1;0;0;0;0;0;0
Isole;Sicilia;AG;A089;7;18,91;46,14;0;0;0;0;4;0
Sud;Campania;SA;A091;2;12;18,33;0;0;0;2;1;0
Centro;Marche;AN;A092;0;2;11;0;0;0;1;0;0
Nord Est;Veneto;VI;A093;0;0;4,33;0;0;0;0;1;0
Nord Ovest;Valle d'Aosta;AO;A094;0;1;6,94;0;3,21;0;0;0;0
Nord Ovest;Lombardia;MI;A096;0;1;5,44;0;0;0;0;0;0
Isole;Sardegna;OR;A097;0;0;1;0;0;0;0;0;0
Isole;Sicilia;EN;A098;0;2;6,92;0;0;0;0;0;0
Sud;Abruzzo;AQ;A100;0;0;2;0;0;0;0;0;0
Sud;Campania;AV;A101;0;0;4,75;0;0;0;0;0;0
Sud;Calabria;CS;A102;0;0;1;0;0;0;0;1;0
Sud;Calabria;CS;A105;0;0;0;0;0;0;0;0;0
Sud;Campania;CE;A106;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;A107;0;0;3;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A108;0;0,33;3;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A109;0;3;5;0;0;0;0;2;0
Sud;Campania;BN;A110;0;3;10,16;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A111;0;0;3;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A112;0;1;3;0;0;0;0;2;0
Nord Ovest;Piemonte;CN;A113;0;0,5;1,5;0;0;0;0;0,5;0
Isole;Sardegna;SS;A115;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A117;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A118;0;0;0;0;0;0;0;1;0
Nord Ovest;Piemonte;VC;A119;0;0,25;0;0;0;0;0;0,03;0
Sud;Abruzzo;PE;A120;0;0;2;0;0;0;0;1;2
Nord Est;Veneto;BL;A121;0;0;6,33;0;0;0;0;1;0
Nord Ovest;Liguria;SV;A122;0;13,5;13,95;0;1,5;0;1;0;0
Centro;Lazio;FR;A123;1;8;9,99;0;0;0;1;0;0
Nord Ovest;Piemonte;CN;A124;19;13,33;44,05;1;0;0;0;5;0
Sud;Abruzzo;TE;A125;0,5;17,17;5,5;0;0;0;3,33;0;0
Isole;Sardegna;OR;A126;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;2;1,5;2;0;0;0;0;2;0
Sud;Campania;SA;A128;0;3;6;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A129;2;1;7,5;0;0;0;0;5,02;0
Nord Ovest;Piemonte;VC;A130;0;0;2,25;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;0;2;0;0;0;0;0;0
Centro;Lazio;RM;A132;1,5;22,5;34,17;0;0;0;0;7;0
Nord Ovest;Lombardia;PV;A134;0;0;0;0;0;0;0;0;1
Nord Ovest;Lombardia;SO;A135;0;0;1,56;0;0;0;0;0;0
Nord Est;Veneto;VR;A137;0;3,17;10,67;0;0;1;0;5;1
Nord Est;Emilia-Romagna;PR;A138;0;0;2,58;0;0;0;0;0;1
Nord Ovest;Piemonte;CN;A139;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;0;5;11;0;0;0;1;1,1;0
Nord Ovest;Liguria;SV;A145;4;10;15,17;0;0;0;7;1;1,5
Nord Ovest;Piemonte;AL;A146;0;0;0;0;0;0;0;0;0
Sud;Puglia;BA;A149;0;7,5;25,5;0;1;0;1;1;0
Sud;Puglia;FG;A150;0;0;2;0;0;0;0;1;0
Nord Ovest;Lombardia;CO;A153;1;1;5;0;0;0;0;0;0
Nord Est;Veneto;VI;A154;0;0;1,33;0;0;0;0;1;0,67
Sud;Calabria;CZ;A155;0;2;3,33;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A157;0;0;2;0;0;0;0;0;1
Nord Ovest;Lombardia;MI;A159;0;1;1,42;0;0;0;0;0,03;0
Sud;Calabria;CS;A160;0;1;0;0;0;0;0;0;0
Nord Est;Veneto;PD;A161;4,5;12,62;11;0;0;0;7;6,66;0
Nord Est;Emilia-Romagna;RE;A162;1,5;3;5;0;0;0;1;9;0,5
Nord Ovest;Lombardia;BG;A163;3,66;8;11,22;0;0;0;1;5,14;0
Nord Ovest;Lombardia;CO;A164;0;0;4;0;0;0;0;2,03;0
Nord Ovest;Liguria;SV;A165;0;5;0;0;0;0;2;0,13;0
Nord Ovest;Liguria;SV;A166;0;2,6;12,25;0;0;0;1;0;0
Nord Ovest;Lombardia;VA;A167;0;1;5;0;0;0;0;5,06;0
Nord Ovest;Lombardia;PV;A171;0;0,67;0;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A172;0;0;15,16;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;A173;0;0;4;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A175;0;1,5;6;0;0;0;0,5;0;1
Isole;Sicilia;TP;A176;2;13,5;63,17;0;0;0;0;1;0
Isole;Sicilia;ME;A177;0;0;2;0;0;0;0;0;0
Isole;Sardegna;OR;A180;0;1;0;0;0;0;0;0;0
Isole;Sicilia;AG;A181;0;0;2,22;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A182;16,25;55,58;63,92;0;0;0;7;29,44;1
Sud;Calabria;CS;A183;0;0;1;0;0;0;0;0;0
