AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Est;Veneto;PD;A001;270,42;23
Nord Ovest;Lombardia;LO;A004;1;1
Nord Ovest;Lombardia;LC;A005;28,5;3
Centro;Toscana;SI;A006;44,67;9
Isole;Sardegna;OR;A007;0;0
Sud;Abruzzo ;PE;A008;1;2
Nord Ovest;Lombardia;MI;A010;298,95;32,03
Sud;Basilicata;PZ;A013;1;3
Isole;Sicilia;RG;A014;3;1
Sud;Puglia;FG;A015;6,92;1
Nord Ovest;Piemonte;CN;A016;0;1,5
Sud;Basilicata;MT;A017;24;3
Sud;Abruzzo ;AQ;A018;0;1
Centro;Lazio;RI;A019;0;1
Sud;Basilicata;PZ;A020;4,5;3,25
Sud;Campania;SA;A023;2;2,67
Sud;Campania;NA;A024;177,53;43,78
Isole;Sicilia;CT;A025;10;2
Isole;Sicilia;CT;A026;90,19;17,33
Isole;Sicilia;CT;A027;112,48;13,5
Isole;Sicilia;CT;A028;188,76;29,36
Isole;Sicilia;CT;A029;50,08;3,75
Centro;Lazio;FR;A032;0;2
Sud;Calabria;CS;A033;0;0
Nord Ovest;Lombardia;BS;A034;3,5;0
Centro;Marche;PS;A035;3;0,5
Nord Ovest;Lombardia;MN;A038;9;2
Nord Ovest;Lombardia;CR;A039;5;0
Centro;Lazio;VT;A040;9;11,01
Sud;Calabria;CS;A041;1;0
Sud;Puglia;LE;A042;4;1
Sud;Calabria;VV;A043;0;0
Centro;Marche;AP;A044;1,67;2,67
Centro;Umbria;TR;A045;12;6,5
Centro;Marche;AP;A047;20;0
Sud;Puglia;BA;A048;68;26,5
Isole;Sicilia;CL;A049;0;3
Sud;Molise;CB;A050;0;0
Sud;Molise;IS;A051;0;0
Nord Ovest;Piemonte;AL;A052;137;29,62
Sud;Calabria;CS;A053;8,25;16,25
Centro;Lazio;FR;A054;1;1,33
Sud;Puglia;BA;A055;68,67;15,25
Isole;Sicilia;CT;A056;70,03;39,54
Nord Ovest;Lombardia;BG;A057;16,75;2,67
Nord Ovest;Lombardia;BG;A058;1,02;0,34
Nord Est;Veneto;RO;A059;109,31;9,36
Nord Ovest;Lombardia;BS;A060;50,8;2
Nord Est;Veneto;VR;A061;30;7
Centro;Lazio;RM;A062;2;1,5
Sud;Campania;NA;A064;66,02;25
