AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Nord Est;Veneto;PD;A001;14;70,25;69;50,1;88,14;291,49
Nord Ovest;Lombardia;LO;A004;0;0;0;0;1;1
Nord Ovest;Lombardia;LC;A005;4;11,5;7,5;8,96;6;37,96
Centro;Toscana;SI;A006;6;26,75;24,75;24,5;9,25;91,25
Isole;Sardegna;OR;A007;0;4;1;0;7;12
Sud;Abruzzo ;PE;A008;2;1;2,5;1,5;1;8
Nord Ovest;Lombardia;MI;A010;26;154,7;92,52;54,26;35,4;362,88
Sud;Basilicata;PZ;A013;0;2;3;0;1;6
Isole;Sicilia;RG;A014;6;8;7,17;4;1;26,17
Sud;Puglia;FG;A015;3,5;10,25;10;0;2;25,75
Nord Ovest;Piemonte;CN;A016;1;4;1;0,5;0;6,5
Sud;Basilicata;MT;A017;4;1;0;0;1;6
Sud;Abruzzo ;AQ;A018;1;0;1;2;0;4
Centro;Lazio;RI;A019;0;0;0;0;1,25;1,25
Sud;Basilicata;PZ;A020;7;4,34;4;3;0,5;18,84
Sud;Campania;SA;A023;0;3,67;2,17;4;1;10,84
Sud;Campania;NA;A024;37,5;88,12;124,63;61,49;45,18;356,92
Isole;Sicilia;CT;A025;1;3;10;10,67;6,11;30,78
Isole;Sicilia;CT;A026;22,92;57,53;48,87;34,83;20,58;184,73
Isole;Sicilia;CT;A027;6,42;31,17;64,09;52,75;25,13;179,56
Isole;Sicilia;CT;A028;35,26;98,04;115,93;98,68;64,63;412,54
Isole;Sicilia;CT;A029;1;11,82;39,25;42,41;35,45;129,93
Centro;Lazio;FR;A032;1;1;1;1;0;4
Sud;Calabria;CS;A033;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;0;2;1,5;0;1;4,5
Centro;Marche;PS;A035;0;3,52;2;2,75;4;12,27
Nord Ovest;Lombardia;MN;A038;0;3;4;1;7,76;15,76
Nord Ovest;Lombardia;CR;A039;0;1;2;4;1;8
