AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Nord Est;Veneto;PD;A001;18,26;49,5;60,38;79,66;92,19;299,99
Nord Ovest;Lombardia;LO;A004;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A005;5;10;7,75;5;9,07;36,82
Centro;Toscana;SI;A006;6,5;12,17;26,67;13,89;12,88;72,11
Isole;Sardegna;OR;A007;3;1;3;0;5,5;12,5
Sud;Abruzzo;PE;A008;1;3;2;0;0;6
Nord Ovest;Lombardia;MI;A010;19,86;174,59;128,95;51,39;39,15;413,94
Sud;Basilicata;PZ;A013;1;1;0,67;0,5;1;4,17
Isole;Sicilia;RG;A014;2,75;4;8,99;6,5;5,7;27,94
Sud;Puglia;FG;A015;5;6;5;3;1;20
Nord Ovest;Piemonte;CN;A016;3;3;1;0;2;9
Sud;Basilicata;MT;A017;4,5;2,13;2;0,5;0;9,13
Sud;Abruzzo;AQ;A018;0;1;0,5;1;1;3,5
Centro;Lazio;RI;A019;0,5;0;0;1;0;1,5
Sud;Basilicata;PZ;A020;15,38;5,78;2;3,8;2;28,96
Sud;Campania;SA;A023;2;0,67;4,67;1,02;4,2;12,56
Sud;Campania;NA;A024;38,2;96,39;138,07;64,99;39,01;376,66
Isole;Sicilia;CT;A025;1;5;7;1;13,97;27,97
Isole;Sicilia;CT;A026;17;48,63;48,36;23,78;25,45;163,22
Isole;Sicilia;CT;A027;4;20,5;71,5;45,46;26;167,46
Isole;Sicilia;CT;A028;32,44;70,42;127,59;109,51;77,69;417,65
Isole;Sicilia;CT;A029;1;9,92;39,83;32,96;37,66;121,37
Centro;Lazio;FR;A032;0;0;2;2;0;4
Sud;Calabria;CS;A033;0;0;0;1;0;1
Nord Ovest;Lombardia;BS;A034;0;4;3;2,65;4,3;13,95
Centro;Marche;PS;A035;0;2;2;4;5;13
Nord Ovest;Lombardia;MN;A038;0;0;0,5;6;9,3;15,8
Nord Ovest;Lombardia;CR;A039;0;0;0;1;1,95;2,95
Centro;Lazio;VT;A040;6;13;12,5;3;9,5;44
Sud;Calabria;CS;A041;6,5;8,5;3;1;2;21
Sud;Calabria;VV;A043;3;4;1;0,67;0;8,67
Centro;Marche;AP;A044;1,33;4,67;6,5;2,89;5,5;20,89
Centro;Umbria;TR;A045;2,42;9,34;9;8;3;31,76
Centro;Marche;AP;A047;1;6;3;0,5;6;16,5
Sud;Puglia;BA;A048;7,74;27,25;38;41,67;36,83;151,49
Isole;Sicilia;CL;A049;2;4,75;8;4,42;4;23,17
Sud;Molise;CB;A050;1;6;1;0;0;8
Sud;Molise;IS;A051;0;0;0;1;0;1
Nord Ovest;Piemonte;AL;A052;17,5;87,99;70,54;35,63;27,57;239,23
Sud;Calabria;CS;A053;3;2;12;7;7,36;31,36
Centro;Lazio;FR;A054;1,83;1,5;1;0,5;0;4,83
Sud;Puglia;BA;A055;6,33;35,5;54,33;36,5;26,84;159,5
Isole;Sicilia;CT;A056;22,49;49,27;39,16;39,99;30,5;181,41
Nord Ovest;Lombardia;BG;A057;1;7;8,39;1;3,28;20,67
Nord Ovest;Lombardia;BG;A058;1;0,51;2,34;1;1,72;6,57
Nord Est;Veneto;RO;A059;5;36;55,05;29,79;47,72;173,56
Nord Ovest;Lombardia;BS;A060;1;15;19,41;14,05;17,03;66,49
Nord Est;Veneto;VR;A061;1;7;8;7;5;28
Centro;Lazio;RM;A062;1;9;4,5;3;1;18,5
Sud;Campania;NA;A064;53,45;88,08;105,86;48,93;26,23;322,55
Sud;Calabria;RC;A065;0;0;2;0;1;3
Nord Est;Emilia-Romagna;PC;A067;1,6;5;6;4,2;10,33;27,13
Sud;Campania;NA;A068;3;13,97;10;9;13,53;49,5
Isole;Sardegna;SS;A069;0;1;2,5;0;2;5,5
Isole;Sicilia;EN;A070;6,83;13,58;15,55;14,8;11,75;62,51
Centro;Toscana;PT;A071;4,33;66,67;40,11;19,55;33,88;164,54
Nord Ovest;Piemonte;AT;A072;1;1;3,5;2;11,67;19,17
Nord Ovest;Piemonte;TO;A074;4;11;2;2;7,67;26,67
Nord Est;Veneto;PD;A075;0,67;2,17;6,5;2;9,65;20,99
Nord Ovest;Lombardia;CR;A076;4;11,72;4,5;7;3;30,22
Sud;Calabria;RC;A077;0;0;0;0;0;0
Sud;Molise;IS;A080;3;3;3;7;6,33;22,33
Centro;Lazio;FR;A081;1,5;0;0;0;2,5;4
Nord Ovest;Lombardia;BS;A082;2;1;3;0;5;11
Nord Est;Veneto;BL;A083;5,19;11,36;7,17;7;6,81;37,53
Centro;Lazio;RM;A084;3;7;3,72;3;2;18,72
Nord Ovest;Lombardia;VA;A085;0;3;3;2;3,5;11,5
Nord Ovest;Lombardia;MI;A087;14;73,75;71,34;19,75;16;194,84
Nord Ovest;Piemonte;NO;A088;1,5;5,5;3;4;9;23
Isole;Sicilia;AG;A089;55,5;81,42;98,85;133,39;70,97;440,13
Sud;Campania;SA;A091;29,93;79,25;70,32;46,92;20,5;246,92
Centro;Marche;AN;A092;2;4,7;14,33;7,5;9;37,53
Nord Est;Veneto;VI;A093;1;1;2;5;6;15
Nord Ovest;Valle d'Aosta;AO;A094;65,33;57,89;15,5;4,01;2,01;144,74
Nord Ovest;Lombardia;MI;A096;4;11,5;5;4,67;4;29,17
Isole;Sardegna;OR;A097;0;0;1;0;1;2
Isole;Sicilia;EN;A098;1;11;3,67;2,5;4,5;22,67
Sud;Abruzzo;AQ;A100;0;2;2,5;0;1;5,5
Sud;Campania;AV;A101;1;0,6;3,67;3;13,75;22,02
Sud;Calabria;CS;A102;2;2;2;2;4;12
Sud;Calabria;CS;A105;0;0;1;0;0;1
Sud;Campania;CE;A106;0;0;0;0;1;1
Nord Ovest;Piemonte;BI;A107;1;1;0;0;3;5
Nord Ovest;Valle d'Aosta;AO;A108;0;8;4;2;3;17
Nord Ovest;Piemonte;TO;A109;5;17;13;3;8,5;46,5
Sud;Campania;BN;A110;7,11;3;7,33;6,9;12,61;36,95
Nord Ovest;Liguria;IM;A111;1;3;1;1;1;7
Nord Ovest;Lombardia;LC;A112;2;6,5;6,95;5;1;21,45
Nord Ovest;Piemonte;CN;A113;1;2;0;0;1;4
Isole;Sardegna;SS;A115;0;0;0;0;1;1
Nord Ovest;Piemonte;TO;A117;2;4;4;2;2;14
Nord Ovest;Lombardia;PV;A118;0;0;0;0;1,5;1,5
Nord Ovest;Piemonte;VC;A119;14,17;20;4,53;2,83;4,33;45,86
Sud;Abruzzo;PE;A120;3,67;5,5;0;2,5;5;16,67
Nord Est;Veneto;BL;A121;0;0;2,9;4;9,67;16,57
Nord Ovest;Liguria;SV;A122;42,73;115,72;68,83;26;18,77;272,05
Centro;Lazio;FR;A123;7,67;18;23,84;16,9;24,5;90,91
Nord Ovest;Piemonte;CN;A124;35,14;147,61;131,02;57,35;52,64;423,76
Sud;Abruzzo;TE;A125;44,22;145,44;50,67;22,17;12,33;274,83
Isole;Sardegna;OR;A126;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;22,22;26,03;6,5;6,22;60,97
Sud;Campania;SA;A128;1;2,5;3,5;6,67;4,5;18,17
Nord Ovest;Lombardia;BG;A129;5;21;44,14;34;19;123,14
Nord Ovest;Piemonte;VC;A130;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;3;1;0;0;4
Centro;Lazio;RM;A132;17,33;141,99;97,89;60,49;43,19;360,89
Nord Ovest;Lombardia;PV;A134;0;0;0;0,5;3;3,5
Nord Ovest;Lombardia;SO;A135;0;0;1;0;0;1
Nord Est;Veneto;VR;A137;0;6,17;18,5;9,65;22,68;57
Nord Est;Emilia-Romagna;PR;A138;4;4;1;5,51;8,51;23,02
Nord Ovest;Piemonte;CN;A139;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;3;26,49;12;18,84;10;70,33
Nord Ovest;Liguria;SV;A145;33;118,83;54;21,93;19,7;247,46
Nord Ovest;Piemonte;AL;A146;0;0;0;1;1;2
Sud;Puglia;BA;A149;17,5;18,77;18,67;13,3;16,5;84,74
Sud;Puglia;FG;A150;6,83;4;1,17;0,25;1;13,25
Nord Ovest;Lombardia;CO;A153;0;13;14,5;2,71;10;40,21
Nord Est;Veneto;VI;A154;1;2;2;5;8,5;18,5
Sud;Calabria;CZ;A155;3,66;1;3;0;3;10,66
Nord Ovest;Piemonte;TO;A157;0;0;2;0;2;4
Nord Ovest;Lombardia;MI;A159;8;29,42;30;34;10,5;111,92
Sud;Calabria;CS;A160;1,14;2;1;0;0;4,14
Nord Est;Veneto;PD;A161;8;57,62;95,04;79,89;107,06;347,61
Nord Est;Emilia-Romagna;RE;A162;0;13;18,5;7,67;28,75;67,92
Nord Ovest;Lombardia;BG;A163;6,75;54,17;65,09;39,17;23,52;188,7
Nord Ovest;Lombardia;CO;A164;1;13,33;4;6;7;31,33
Nord Ovest;Liguria;SV;A165;7;52,58;27,95;4,33;6,13;97,99
Nord Ovest;Liguria;SV;A166;12;53,5;29,83;9;3;107,33
Nord Ovest;Lombardia;VA;A167;0;14;20;10;8,5;52,5
Nord Ovest;Lombardia;PV;A171;0;0;2;0;1;3
Nord Ovest;Lombardia;SO;A172;2,5;2;4;6,42;3,22;18,14
Nord Ovest;Piemonte;AT;A173;0;0;0;0;5,5;5,5
Nord Ovest;Lombardia;PV;A175;1;14,4;18,5;14;7,5;55,4
Isole;Sicilia;TP;A176;36,4;82,74;109,01;77,45;53,58;359,18
Isole;Sicilia;ME;A177;1;3;2;1;1;8
Isole;Sardegna;OR;A180;0;1;0;2,8;3;6,8
Isole;Sicilia;AG;A181;0,67;1;4;2;2;9,67
Nord Ovest;Piemonte;AL;A182;85,79;312,58;300,14;133,04;196,52;1028,07
Sud;Calabria;CS;A183;1;1;0;2;0;4
Sud;Puglia;LE;A184;3;13,5;4;5;9,5;35
Sud;Puglia;LE;A185;6;14;13,25;9,84;14;57,09
Sud;Campania;SA;A186;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;6;22,67;6;2;0;36,67
Nord Ovest;Lombardia;BS;A188;0;0;2,03;0,89;4,5;7,42
Nord Ovest;Piemonte;AL;A189;0;0,67;1;0;9,67;11,34
Nord Est;Emilia-Romagna;RA;A191;2;17;27,69;15;31,42;93,11
Isole;Sardegna;SS;A192;104,88;230,96;188;102,64;50,13;676,61
Nord Ovest;Lombardia;BG;A193;2,02;0;1,01;0;1;4,03
Isole;Sicilia;ME;A194;0;0;0,33;1;0;1,33
Isole;Sicilia;PA;A195;0;6;6,33;3;5;20,33
Sud;Basilicata;MT;A196;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;A197;0;1;3;0;3,67;7,67
Nord Ovest;Piemonte;VC;A198;0;0;4;5;3;12
Sud;Campania;CE;A200;2;2;1;1;11,96;17,96
Isole;Sicilia;ME;A201;1;9;4;7,5;3;24,5
Isole;Sicilia;PA;A202;0,88;5;6,87;7,89;8,81;29,45
Isole;Sicilia;PA;A203;0;1;2;1,5;1;5,5
Isole;Sardegna;OR;A204;0;1;0;1;1,33;3,33
Nord Ovest;Valle d'Aosta;AO;A205;0;1;0;1;0;2
Nord Est;Veneto;BL;A206;8;13,5;14,5;4,33;2;42,33
Centro;Umbria;TR;A207;1;0;2;4;1;8
Sud;Puglia;LE;A208;4,8;13;4,13;10,67;8,33;40,93
Centro;Lazio;RM;A210;4,5;6,5;4;0;1;16
Nord Ovest;Lombardia;BG;A214;4;15;19,75;16,34;5;60,09
Nord Ovest;Lombardia;BG;A215;5;7,25;11,9;7;6,63;37,78
Nord Ovest;Lombardia;BG;A216;7;18;21,09;19,1;16,25;81,44
Nord Ovest;Lombardia;BG;A217;2;6,33;16,42;5,92;14,67;45,34
Nord Ovest;Piemonte;TO;A218;5,75;14,33;12,75;7,4;23,7;63,93
Nord Est;Veneto;VI;A220;1;2;1;2;5;11
Nord Ovest;Piemonte;TO;A221;1;4;2;0;0;7
