AREA;REGIONE;PROVINCIA;2020_CodCom;NTN 2020 fino a 50 mq;NTN  2020 50 -| 85 mq;NTN 2020 85 -| 115 mq;NTN  2020 115 -| 145 mq;NTN  2020 oltre 145 mq;NTN 2020
Nord Est;Veneto;PD;A001;11;48;56,33;48;83,17;246,5
Nord Ovest;Lombardia;LO;A004;3;1;0;0;1;5
Nord Ovest;Lombardia;LC;A005;1;12;7,5;5,33;7,67;33,5
Centro;Toscana;SI;A006;4,67;22,66;23,83;19,01;11;81,17
Isole;Sardegna;OR;A007;3;2;3;2,5;5;15,5
Sud;Abruzzo;PE;A008;3;1;2;0;1;7
Nord Ovest;Lombardia;MI;A010;30,5;159,5;103,59;59,25;33,13;385,97
Sud;Basilicata;PZ;A013;0;1;0;0;3;4
Isole;Sicilia;RG;A014;8;8;9,5;7;8,03;40,53
Sud;Puglia;FG;A015;1;6,89;10,89;3;1;22,78
Nord Ovest;Piemonte;CN;A016;0;4;4;1;1;10
Sud;Basilicata;MT;A017;6;3;2,08;1;1;13,08
Sud;Abruzzo;AQ;A018;0;0;1;0;0;1
Centro;Lazio;RI;A019;0;0;0;0;0;0
Sud;Basilicata;PZ;A020;3,34;5;2;1;1;12,34
Sud;Campania;SA;A023;1;4;5;3,75;3;16,75
Sud;Campania;NA;A024;36,42;92,88;104;57,63;30,81;321,74
Isole;Sicilia;CT;A025;2;5;6,5;6;6,5;26
Isole;Sicilia;CT;A026;13;41,5;51,08;31,65;31,91;169,14
Isole;Sicilia;CT;A027;3;39,34;79,28;54,89;36;212,51
Isole;Sicilia;CT;A028;20,71;68,43;105,16;87,52;67,8;349,62
Isole;Sicilia;CT;A029;3;12,41;35;28;37,72;116,13
Centro;Lazio;FR;A032;0;3;0;1;0;4
Sud;Calabria;CS;A033;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;2;4;0,5;2;8;16,5
Centro;Marche;PS;A035;2;4;8;2;12,43;28,43
Nord Ovest;Lombardia;MN;A038;0;2;2;3;6;13
