AREA;Regione;prov;2021_CodCom;NTN_2021_Uffici;NTN_2021_Negozi_Lab;NTN_2021_Depositi_Comm_Autorimesse;NTN_2021_TCO_B04;NTN_2021_TCO_D02;NTN_2021_TCO_D05;NTN_2021_TCO_D08;NTN_2021_PRO;NTN_2021_AGR;;
Nord Est;Veneto;PD;A001;6;19;15;0;5;0;0;0;0;;
Nord Ovest;Lombardia;LO;A004;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;LC;A005;0;1;2,56;0;0;0;0;0;0;;
Centro;Toscana;SI;A006;2;5;4,5;0;0;0;0;1;0;;
Isole;Sardegna;OR;A007;0;0,5;1;0;0;0;1;0;0;;
Sud;Abruzzo;PE;A008;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;MI;A010;29;31;46,23;0;0;0;5;6,1;2;;
Sud;Basilicata;PZ;A013;0;0;13,57;0;0;0;0;0;0;;
Isole;Sicilia;RG;A014;0;0;18,18;0;0;0;0;14;3,69;;
Sud;Puglia;FG;A015;0;0;9;0;0;0;0;0;0;;
Nord Ovest;Piemonte;CN;A016;0;1;2;0;0;0;0;0;0;;
Sud;Basilicata;MT;A017;0;1;6;0;0;0;0;0;1;;
Sud;Abruzzo;AQ;A018;0;0;3;0;0;0;0;0;0;;
Centro;Lazio;RI;A019;0;0;0,33;0;0;0;0;0;0;;
Sud;Basilicata;PZ;A020;0;0;8;0;0;0;0;4;0;;
Sud;Campania;SA;A023;0;2;3;0;0;0;0;1;0;;
Sud;Campania;NA;A024;0,03;20,99;70,71;0;0;0;1;12,03;0;;
Isole;Sicilia;CT;A025;0;0;4;0;0;0;0;0;0;;
Isole;Sicilia;CT;A026;6,67;9,25;12,42;0;0;0;2;1;0;;
Isole;Sicilia;CT;A027;1;5,63;32,41;0;0;0;0;0;0;;
Isole;Sicilia;CT;A028;5;38,3;61,09;0;1;0;1;4;0,16;;
Isole;Sicilia;CT;A029;1;7;33,91;0;0;0;1;0;0;;
Centro;Lazio;FR;A032;0;0;0;0;0;0;0;0;0;;
Sud;Calabria;CS;A033;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Lombardia;BS;A034;0;0;0;0;0;0;0;0;0;;
Centro;Marche;PS;A035;1;2,22;3;0;0;0;0,35;0;0;;
Nord Ovest;Lombardia;MN;A038;0;1,67;3,33;0;0;0;0;1;1;;
Nord Ovest;Lombardia;CR;A039;0;0;2;0;0;0;0;0;0;;
Centro;Lazio;VT;A040;0;1;15,13;0;0;0;0;6;1;;
Sud;Calabria;CS;A041;0;0;1;0;0;0;0;0;0;;
Sud;Calabria;VV;A043;0;0;4;0;0;0;0;0;0;;
Centro;Marche;AP;A044;0;1,87;5,17;0;0;0;0;2;0;;
Centro;Umbria;TR;A045;0;3;3,5;0;0;0;0;0;0;;
Centro;Marche;AP;A047;0;2;9;0;0;0;0;4;0;;
Sud;Puglia;BA;A048;1;18,25;33,19;0;0;0;0;2;2;;
Isole;Sicilia;CL;A049;0;1,34;0;0;0;0;0;0;0;;
Sud;Molise;CB;A050;0;0;2,5;0;0;0;0;0;3;;
Sud;Molise;IS;A051;0;0;1;0;0;0;0;0;0;;
Nord Ovest;Piemonte;AL;A052;3;19,5;37,63;0;0;0;1,5;1;0;;
Sud;Calabria;CS;A053;0;8;19,62;0;0;0;0;1;0;;
