AREA;REGIONE;PROVINCIA;2021_CodCom;NTN_2021_Depositi_Pert;NTN_2021_Box
Nord Est;Veneto;PD;A001;17,1;335,49
Nord Ovest;Lombardia;LO;A004;0;2
Nord Ovest;Lombardia;LC;A005;14,17;38
Centro;Toscana;SI;A006;16,75;55,22
Isole;Sardegna;OR;A007;2;1,08
Sud;Abruzzo;PE;A008;3;1
Nord Ovest;Lombardia;MI;A010;104,23;393,29
Sud;Basilicata;PZ;A013;8,28;0
Isole;Sicilia;RG;A014;1;17
Sud;Puglia;FG;A015;3;9,78
Nord Ovest;Piemonte;CN;A016;1;2
Sud;Basilicata;MT;A017;7,34;2
Sud;Abruzzo;AQ;A018;1;1
Centro;Lazio;RI;A019;0;1
Sud;Basilicata;PZ;A020;10;2
Sud;Campania;SA;A023;12,43;7,93
Sud;Campania;NA;A024;43,33;227,81
Isole;Sicilia;CT;A025;2;19
Isole;Sicilia;CT;A026;28;130,02
Isole;Sicilia;CT;A027;18;172,14
Isole;Sicilia;CT;A028;50,59;246,43
Isole;Sicilia;CT;A029;22;72,93
Centro;Lazio;FR;A032;0;0
Sud;Calabria;CS;A033;1;0
Nord Ovest;Lombardia;BS;A034;1;10,72
Centro;Marche;PS;A035;1;7,5
Nord Ovest;Lombardia;MN;A038;0;9,42
Nord Ovest;Lombardia;CR;A039;2;6,92
Centro;Lazio;VT;A040;9,17;22,5
Sud;Calabria;CS;A041;4;4
Sud;Calabria;VV;A043;1;0
Centro;Marche;AP;A044;22,17;5,7
Centro;Umbria;TR;A045;13,5;25
Centro;Marche;AP;A047;2,5;22,39
Sud;Puglia;BA;A048;35,22;104,44
Isole;Sicilia;CL;A049;2;0
Sud;Molise;CB;A050;0;2,5
Sud;Molise;IS;A051;0;1
Nord Ovest;Piemonte;AL;A052;67,37;132,58
Sud;Calabria;CS;A053;11,27;10
Centro;Lazio;FR;A054;3;0
Sud;Puglia;BA;A055;21,33;91,33
Isole;Sicilia;CT;A056;32,17;115,23
