Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Nord Est;Veneto;PD;A001;9,9;53;78,68;72,62;106,24;320,44
Nord Ovest;Lombardia;LO;A004;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A005;5,5;16,26;6;6,55;6;40,31
Centro;Toscana;SI;A006;11;23,47;31,9;18,34;18,8;103,51
Isole;Sardegna;OR;A007;0;1;5;6;7,78;19,78
Sud;Abruzzo;PE;A008;1;2;1;2;4;10
Nord Ovest;Lombardia;MI;A010;43,5;264,42;158,95;69;51,4;587,27
Sud;Basilicata;PZ;A013;2;3;1;0;1,5;7,5
Isole;Sicilia;RG;A014;4;23;21,59;8;8;64,59
Sud;Puglia;FG;A015;12;8,67;14;0,5;4;39,17
Nord Ovest;Piemonte;CN;A016;2,17;1;3,78;3;1,83;11,78
Sud;Basilicata;MT;A017;1;3,5;4,5;2;1;12
Sud;Abruzzo;AQ;A018;0;2;0;0;2;4
Centro;Lazio;RI;A019;0;1;0;0;0;1
Sud;Basilicata;PZ;A020;10,25;6;3,5;2;2;23,75
Sud;Campania;SA;A023;1;4,88;4,08;5;2,37;17,33
Sud;Campania;NA;A024;52,05;116,79;155,06;111,88;52,23;488,01
Isole;Sicilia;CT;A025;1;8;10,5;14;9;42,5
Isole;Sicilia;CT;A026;21,97;49,89;70,04;38,16;48,83;228,89
Isole;Sicilia;CT;A027;8;40,11;90,19;55,39;47,44;241,13
Isole;Sicilia;CT;A028;35,5;95,76;130,06;136,2;105,39;502,91
Isole;Sicilia;CT;A029;6,76;22,81;45,44;42,22;51,92;169,15
Centro;Lazio;FR;A032;2;2;0,5;2;1,5;8
Sud;Calabria;CS;A033;0;0;0;1;2;3
Nord Ovest;Lombardia;BS;A034;1;4;3;2;10,5;20,5
Centro;Marche;PS;A035;2;3,25;6,17;4;11,5;26,92
Nord Ovest;Lombardia;MN;A038;0;3;7;1,58;13;24,58
Nord Ovest;Lombardia;CR;A039;0,38;2,14;5,38;5,5;5;18,4
Centro;Lazio;VT;A040;1,5;15;11,22;9,83;16,69;54,24
Sud;Calabria;CS;A041;12,62;11;6,17;8;2;39,79
Sud;Calabria;VV;A043;4;2;1;3;5;15
Centro;Marche;AP;A044;12;16;11;5;3,5;47,5
Centro;Umbria;TR;A045;1;13,33;10;17;16,5;57,83
Centro;Marche;AP;A047;5;13,25;6;5;12;41,25
Sud;Puglia;BA;A048;20;31,61;55,5;53,56;44,92;205,59
Isole;Sicilia;CL;A049;3;3;3,89;5;3;17,89
Sud;Molise;CB;A050;0;2;3;0;2;7
Sud;Molise;IS;A051;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;A052;15,5;86,67;96,92;42;39,5;280,59
Sud;Calabria;CS;A053;2,22;9,08;10;20;9,17;50,47
Centro;Lazio;FR;A054;2;0;3;3;3;11
Sud;Puglia;BA;A055;11;43;83,28;38,67;36,33;212,28
Isole;Sicilia;CT;A056;37;57,42;71,44;57,9;52,46;276,22
Nord Ovest;Lombardia;BG;A057;3,67;9;2,67;5,01;12;32,35
Nord Ovest;Lombardia;BG;A058;0;6;4;1,33;6;17,33
Nord Est;Veneto;RO;A059;22;68,07;75,5;44,17;69,42;279,16
Nord Ovest;Lombardia;BS;A060;0;21;19,51;14;28,96;83,47
Nord Est;Veneto;VR;A061;1;12,8;9;3;7;32,8
Centro;Lazio;RM;A062;0,67;2,5;3;5,5;0;11,67
Sud;Campania;NA;A064;78,76;134,29;138,8;81,35;40,79;473,99
Sud;Calabria;RC;A065;0;0,8;0;0;2,4;3,2
Nord Est;Emilia-Romagna;PC;A067;0;5;7,28;6;15,38;33,66
Sud;Campania;NA;A068;7;23,77;19,75;6,03;10,5;67,05
Isole;Sardegna;SS;A069;1;3;5;2;5;16
Isole;Sicilia;EN;A070;11,67;20,4;21,46;21,5;15,71;90,74
Centro;Toscana;PT;A071;5,08;53,1;46;24,35;45,38;173,91
Nord Ovest;Piemonte;AT;A072;0;2;4,5;2;14,62;23,12
Nord Ovest;Piemonte;TO;A074;1;12;6;9,5;8;36,5
Nord Est;Veneto;PD;A075;1;4;5;9,5;20,39;39,89
Nord Ovest;Lombardia;CR;A076;0;23;21,3;10,8;15,77;70,87
Sud;Calabria;RC;A077;0;0,92;0;0;0;0,92
Sud;Molise;IS;A080;0;4;4,5;7,5;19,23;35,23
Centro;Lazio;FR;A081;0;4;5;2;4;15
Nord Ovest;Lombardia;BS;A082;0;1,17;5,5;3,5;0,5;10,67
Nord Est;Veneto;BL;A083;7,55;26,25;18;7,5;11,34;70,64
Centro;Lazio;RM;A084;3,5;11,5;4,67;5,5;3;28,17
Nord Ovest;Lombardia;VA;A085;4;5,8;9;0;5;23,8
Nord Ovest;Lombardia;MI;A087;21;101,82;96,1;46,5;34,04;299,46
Nord Ovest;Piemonte;NO;A088;1;3;4;4;27;39
Isole;Sicilia;AG;A089;61,58;147,15;145,17;175,94;140,07;669,91
Sud;Campania;SA;A091;55,67;107,2;89,31;58;25,33;335,51
Centro;Marche;AN;A092;0;16,5;14;15,67;11,74;57,91
Nord Est;Veneto;VI;A093;1;2;1;2,5;2,5;9
Nord Ovest;Valle d'Aosta;AO;A094;44,1;44,5;20,5;7,01;8,01;124,12
Nord Ovest;Lombardia;MI;A096;6;15;7;5;5,25;38,25
Isole;Sardegna;OR;A097;0;0;0;0;1;1
Isole;Sicilia;EN;A098;5;5,33;9,19;2,67;6,27;28,46
Sud;Abruzzo;AQ;A100;4;5,5;4;3;2;18,5
Sud;Campania;AV;A101;2;7;6;6;15,5;36,5
Sud;Calabria;CS;A102;3;2;1;1;1;8
Sud;Calabria;CS;A105;0;1;0;0;1;2
Sud;Campania;CE;A106;0;0,5;2,98;0;1;4,48
Nord Ovest;Piemonte;BI;A107;0;5;0;1;3,67;9,67
Nord Ovest;Valle d'Aosta;AO;A108;2;11;5;3;3;24
Nord Ovest;Piemonte;TO;A109;7;16,5;17;1,86;11;53,36
Sud;Campania;BN;A110;6,5;2,5;9,83;9,66;16;44,49
Nord Ovest;Liguria;IM;A111;3;9;1;1;0;14
Nord Ovest;Lombardia;LC;A112;1,5;11;14;7;4,5;38
Nord Ovest;Piemonte;CN;A113;2;2;0;0;0;4
Isole;Sardegna;SS;A115;0;2;0,5;1;1;4,5
Nord Ovest;Piemonte;TO;A117;4;8,5;3;1;0;16,5
Nord Ovest;Lombardia;PV;A118;0;2,33;1,66;3;5;11,99
Nord Ovest;Piemonte;VC;A119;11;16;11;1;0;39
Sud;Abruzzo;PE;A120;1;3;3,44;5,67;15;28,11
Nord Est;Veneto;BL;A121;1,33;9;7;4;18;39,33
