Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Nord Est;Veneto;PD;A001;ABANO TERME;28001
Nord Ovest;Lombardia;LO;A004;ABBADIA CERRETO;98001
Nord Ovest;Lombardia;LC;A005;ABBADIA LARIANA;97001
Centro;Toscana;SI;A006;ABBADIA SAN SALVATORE;52001
Isole;Sardegna;OR;A007;ABBASANTA;95001
Sud;Abruzzo;PE;A008;ABBATEGGIO;68001
Nord Ovest;Lombardia;MI;A010;ABBIATEGRASSO;15002
Sud;Basilicata;PZ;A013;ABRIOLA;76001
Isole;Sicilia;RG;A014;ACATE;88001
Sud;Puglia;FG;A015;ACCADIA;71001
Nord Ovest;Piemonte;CN;A016;ACCEGLIO;4001
Sud;Basilicata;MT;A017;ACCETTURA;77001
Sud;Abruzzo;AQ;A018;ACCIANO;66001
Centro;Lazio;RI;A019;ACCUMOLI;57001
Sud;Basilicata;PZ;A020;ACERENZA;76002
Sud;Campania;SA;A023;ACERNO;65001
Sud;Campania;NA;A024;ACERRA;63001
Isole;Sicilia;CT;A025;ACI BONACCORSI;87001
Isole;Sicilia;CT;A026;ACI CASTELLO;87002
Isole;Sicilia;CT;A027;ACI CATENA;87003
Isole;Sicilia;CT;A028;ACIREALE;87004
Isole;Sicilia;CT;A029;ACI SANT`ANTONIO;87005
Centro;Lazio;FR;A032;ACQUAFONDATA;60001
Sud;Calabria;CS;A033;ACQUAFORMOSA;78001
Nord Ovest;Lombardia;BS;A034;ACQUAFREDDA;17001
Centro;Marche;PS;A035;ACQUALAGNA;41001
Nord Ovest;Lombardia;MN;A038;ACQUANEGRA SUL CHIESE;20001
Nord Ovest;Lombardia;CR;A039;ACQUANEGRA CREMONESE;19001
Centro;Lazio;VT;A040;ACQUAPENDENTE;56001
Sud;Calabria;CS;A041;ACQUAPPESA;78002
Sud;Calabria;VV;A043;ACQUARO;102001
Centro;Marche;AP;A044;ACQUASANTA TERME;44001
Centro;Umbria;TR;A045;ACQUASPARTA;55001
Centro;Marche;AP;A047;ACQUAVIVA PICENA;44002
Sud;Puglia;BA;A048;ACQUAVIVA DELLE FONTI;72001
Isole;Sicilia;CL;A049;ACQUAVIVA PLATANI;85001
Sud;Molise;CB;A050;ACQUAVIVA COLLECROCE;70001
Sud;Molise;IS;A051;ACQUAVIVA D`ISERNIA;94001
Nord Ovest;Piemonte;AL;A052;ACQUI TERME;6001
Sud;Calabria;CS;A053;ACRI;78003
Centro;Lazio;FR;A054;ACUTO;60002
Sud;Puglia;BA;A055;ADELFIA;72002
Isole;Sicilia;CT;A056;ADRANO;87006
Nord Ovest;Lombardia;BG;A057;ADRARA SAN MARTINO;16001
Nord Ovest;Lombardia;BG;A058;ADRARA SAN ROCCO;16002
Nord Est;Veneto;RO;A059;ADRIA;29001
Nord Ovest;Lombardia;BS;A060;ADRO;17002
Nord Est;Veneto;VR;A061;AFFI;23001
Centro;Lazio;RM;A062;AFFILE;58001
Sud;Campania;NA;A064;AFRAGOLA;63002
Sud;Calabria;RC;A065;AFRICO;80001
Nord Est;Emilia-Romagna;PC;A067;AGAZZANO;33001
Sud;Campania;NA;A068;AGEROLA;63003
Isole;Sardegna;SS;A069;AGGIUS;90001
Isole;Sicilia;EN;A070;AGIRA;86001
Centro;Toscana;PT;A071;AGLIANA;47002
Nord Ovest;Piemonte;AT;A072;AGLIANO;5001
Nord Ovest;Piemonte;TO;A074;AGLIE`;1001
