Area;Regione;Provincia;2023_CodCom;NTN_2023_Uffici;NTN_2023_Negozi_Lab;NTN_2023_Depositi_Comm_Autorimesse;NTN_2023_TCO_B04;NTN_2023_TCO_D02;NTN_2023_TCO_D05;NTN_2023_TCO_D08;NTN_2023_PRO;NTN_2023_AGR
Nord Est;Veneto;PD;A001;6;36,25;14;0;2;0;1;3;0
Nord Ovest;Lombardia;LO;A004;0;0;0;0;0;0;0;0;0,3
Nord Ovest;Lombardia;LC;A005;0;1;3;0;1;0;0;0;0
Centro;Toscana;SI;A006;0;8,67;5;0;0;0;0;0;0
Isole;Sardegna;OR;A007;0;0;4;0;0;0;0;0;0
Sud;Abruzzo;PE;A008;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A010;9;24,02;32,69;0;0;0;3;2;3
Sud;Basilicata;PZ;A013;0;0;5,33;0;0;0;0;0;0
Isole;Sicilia;RG;A014;1;1;48,92;0;0;0;1;0;10
Sud;Puglia;FG;A015;0;0;10;0;0;0;0;0;1
Nord Ovest;Piemonte;CN;A016;0;0;3,17;0;0;0;0;0;0
Sud;Basilicata;MT;A017;0;2;3;0;0;0;0;0;0
Sud;Abruzzo;AQ;A018;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A019;0;0;0;0;0;0;0;0;1
Sud;Basilicata;PZ;A020;0;3,5;4;0;0;0;0;0;1
Sud;Campania;SA;A023;0;0;5;0;0;0;0;0;0
Sud;Campania;NA;A024;1,02;33;87,47;0;0;0;1;13,02;0
Isole;Sicilia;CT;A025;0;4;3,57;0;0;0;0;0;0
Isole;Sicilia;CT;A026;1,25;7,22;20,68;0;0;0;0;0;0
Isole;Sicilia;CT;A027;5;10,5;29,05;0;0;0;0;1;0
Isole;Sicilia;CT;A028;3,67;35,83;61,89;0;0;0;1;2,02;0
Isole;Sicilia;CT;A029;1;7;35,63;0;0;0;3;0;0
Centro;Lazio;FR;A032;0;0;0;0;0;0;0;0;0
Sud;Calabria;CS;A033;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;0;1;3;0;0;0;0;3,75;0
Centro;Marche;PS;A035;1;4;8;0;1;0;0;1;0
Nord Ovest;Lombardia;MN;A038;0,5;0;4;0;0;0;0;1;1
Nord Ovest;Lombardia;CR;A039;0;0;0;0;0;0;0;0;0,75
Centro;Lazio;VT;A040;1,5;6,5;24,34;0;0;0;0;1;1
Sud;Calabria;CS;A041;0;2;0;0;0;0;0;0;0
Sud;Calabria;VV;A043;0;0;3,67;0;0;0;0;0;0
Centro;Marche;AP;A044;0;2,5;2;0;1;0;0;0;0
Centro;Umbria;TR;A045;0;3,5;8,25;0;1;0;0;0;2,34
Centro;Marche;AP;A047;0;2,88;6,3;0;0;0;0;6;0
Sud;Puglia;BA;A048;2;15,22;40,84;0;0;1;0;2;1
Isole;Sicilia;CL;A049;0;0;4;0;0;0;0;2;0
Sud;Molise;CB;A050;0;0;0;0;0;0;1;0;0
Sud;Molise;IS;A051;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A052;4;16,27;23,21;0;0;0;2;8;0
Sud;Calabria;CS;A053;1;5,25;21,16;0;0;0;0;2;0
Centro;Lazio;FR;A054;0;3;0,5;0;0;0;1;0;0
Sud;Puglia;BA;A055;0;9;36,08;0;0;0;0;0,02;0
Isole;Sicilia;CT;A056;4;7,6;50,65;0;0;0;0;2;0
Nord Ovest;Lombardia;BG;A057;0;1,25;3,25;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A058;0;0;3;0;0;0;0;1;0
Nord Est;Veneto;RO;A059;6;15,6;17,67;0;0;0;3;2,05;3
Nord Ovest;Lombardia;BS;A060;3;1,67;11,5;0;0;0;2;2,35;0
Nord Est;Veneto;VR;A061;1;5;7,32;0;0;0;0;2;0
Centro;Lazio;RM;A062;0;1;3;0;0;0;0;0;0
Sud;Campania;NA;A064;0;36,84;66,84;0;0;0;1;4,34;0
Sud;Calabria;RC;A065;0;0;1;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PC;A067;0;1;16;0;1;0;0;0;2
Sud;Campania;NA;A068;0;5,58;20,09;0;0;0;0;0;0
Isole;Sardegna;SS;A069;0;0;3;0;0;0;0;1;0
Isole;Sicilia;EN;A070;2;6;24,33;0;0;0;0;0;0
Centro;Toscana;PT;A071;1;16;23,5;0;1;0;0;4;0
Nord Ovest;Piemonte;AT;A072;1;0;4;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;A074;0;0;6,66;0;0;0;0;0;1
Nord Est;Veneto;PD;A075;2;1;5;0;0;0;0;3;1
Nord Ovest;Lombardia;CR;A076;0;2;7;0;0;0;0;0;2
Sud;Calabria;RC;A077;0;0;0;0;0;0;0;0;0
Sud;Molise;IS;A080;0;8,5;6;0;0;0;0;0;0
Centro;Lazio;FR;A081;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A082;0;1;2;0;0;0;0;0;0
Nord Est;Veneto;BL;A083;0;1;10,67;0;0;0;0;0,03;0
Centro;Lazio;RM;A084;0;0;6,16;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A085;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A087;4,33;10;22,97;0;0;0;0;10;1
