Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Est;Veneto;PD;A001;15,43;281,3
Nord Ovest;Lombardia;LO;A004;1;2
Nord Ovest;Lombardia;LC;A005;11,26;26
Centro;Toscana;SI;A006;15,5;33,84
Isole;Sardegna;OR;A007;2;0,5
Sud;Abruzzo;PE;A008;2;2
Nord Ovest;Lombardia;MI;A010;126,8;379,83
Sud;Basilicata;PZ;A013;1;1
Isole;Sicilia;RG;A014;10,58;19,5
Sud;Puglia;FG;A015;3;4
Nord Ovest;Piemonte;CN;A016;2;3
Sud;Basilicata;MT;A017;10,29;3,33
Sud;Abruzzo;AQ;A018;2;0
Centro;Lazio;RI;A019;4;1
Sud;Basilicata;PZ;A020;4;4
Sud;Campania;SA;A023;5,67;5,67
Sud;Campania;NA;A024;54,21;203,39
Isole;Sicilia;CT;A025;1;3
Isole;Sicilia;CT;A026;29,17;123,17
Isole;Sicilia;CT;A027;13,5;184,67
Isole;Sicilia;CT;A028;51,79;278,35
Isole;Sicilia;CT;A029;14;89,67
Centro;Lazio;FR;A032;0;0
Sud;Calabria;CS;A033;0;0
Nord Ovest;Lombardia;BS;A034;0;23
Centro;Marche;PS;A035;1,5;9,8
Nord Ovest;Lombardia;MN;A038;6;12
Nord Ovest;Lombardia;CR;A039;3;9,67
Centro;Lazio;VT;A040;18,67;19,52
Sud;Calabria;CS;A041;2,33;2
Sud;Calabria;VV;A043;0;0
Centro;Marche;AP;A044;7,5;9
Centro;Umbria;TR;A045;17;30,75
Centro;Marche;AP;A047;8;29,5
Sud;Puglia;BA;A048;45;89,34
Isole;Sicilia;CL;A049;1,5;0
Sud;Molise;CB;A050;2;0
Sud;Molise;IS;A051;0;0
Nord Ovest;Piemonte;AL;A052;95,5;218,05
Sud;Calabria;CS;A053;19,08;16,04
Centro;Lazio;FR;A054;7,83;0
Sud;Puglia;BA;A055;36,5;74,5
Isole;Sicilia;CT;A056;34,75;83,39
Nord Ovest;Lombardia;BG;A057;9;19,5
Nord Ovest;Lombardia;BG;A058;6;7
Nord Est;Veneto;RO;A059;21,5;145,27
Nord Ovest;Lombardia;BS;A060;10,24;59,58
Nord Est;Veneto;VR;A061;4;39
Centro;Lazio;RM;A062;6,5;35,85
Sud;Campania;NA;A064;43,31;89,91
Sud;Calabria;RC;A065;0;0
Nord Est;Emilia-Romagna;PC;A067;6;26
Sud;Campania;NA;A068;14,9;6,33
Isole;Sardegna;SS;A069;1;1
Isole;Sicilia;EN;A070;10,93;22,17
Centro;Toscana;PT;A071;13,58;85,75
Nord Ovest;Piemonte;AT;A072;4,5;10
Nord Ovest;Piemonte;TO;A074;7;28
Nord Est;Veneto;PD;A075;1;28,67
Nord Ovest;Lombardia;CR;A076;5;53
Sud;Calabria;RC;A077;1;0
Sud;Molise;IS;A080;5,38;14,05
Centro;Lazio;FR;A081;1;0
Nord Ovest;Lombardia;BS;A082;5,83;4
