Area;Regione;Provincia;2025_CodCom;NTN 2025 fino a 50 mq;NTN 2025 50 -| 85 mq;NTN 2025 85 -| 115 mq;NTN 2025 115 -| 145 mq;NTN 2025 oltre 145 mq;NTN_2025
Nord Est;Veneto;PD;A001;14,63;58,3;72,42;73,72;82,7;301,77
Nord Ovest;Lombardia;LO;A004;0;0;0;1;2;3
Nord Ovest;Lombardia;LC;A005;3;21;10,22;3,8;8,9;46,92
Centro;Toscana;SI;A006;7;19,5;23,42;21,5;10;81,42
Isole;Sardegna;OR;A007;4;1;3;3;15;26
Sud;Abruzzo;PE;A008;0;2;1;3;0;6
Nord Ovest;Lombardia;MI;A010;36;226,41;130,88;48,05;47,83;489,17
Sud;Basilicata;PZ;A013;1;1;0;1;0,8;3,8
Isole;Sicilia;RG;A014;12,5;25;22,58;19;14;93,08
Sud;Puglia;FG;A015;6,5;8,5;11,67;2;2;30,67
Nord Ovest;Piemonte;CN;A016;1;4;1;2;1;9
Sud;Basilicata;MT;A017;5,83;7;3,8;3;2,08;21,71
Sud;Abruzzo;AQ;A018;2;1;1;0;0;4
Centro;Lazio;RI;A019;0;1;1;0;0;2
Sud;Basilicata;PZ;A020;3;4,5;4;1;0;12,5
Sud;Campania;SA;A023;2;6;1;6,75;2,67;18,42
Sud;Campania;NA;A024;69,86;137,22;119;64,57;50,39;441,04
Isole;Sicilia;CT;A025;2;7;5;3,5;7;24,5
Isole;Sicilia;CT;A026;24;60,08;65,92;43,67;34,33;228
Isole;Sicilia;CT;A027;10,67;37,67;108,12;72,83;47,43;276,72
Isole;Sicilia;CT;A028;36,04;109,83;195,68;163,54;116,54;621,63
Isole;Sicilia;CT;A029;1;21;56,4;47,83;56,16;182,39
Centro;Lazio;FR;A032;1;0;0;0;0;1
Sud;Calabria;CS;A033;0;1;1;2;1;5
Nord Ovest;Lombardia;BS;A034;1;14;4;2;11;32
Centro;Marche;PS;A035;1;3;7,89;5;7,5;24,39
Nord Ovest;Lombardia;MN;A038;0;2;3;4;21,5;30,5
Nord Ovest;Lombardia;CR;A039;0;1;4;4,33;4;13,33
Centro;Lazio;VT;A040;3;20,33;15,67;11;11;61
Sud;Calabria;CS;A041;16;25,83;14;3;2;60,83
Sud;Calabria;VV;A043;1;2;1;0;3;7
Centro;Marche;AP;A044;2,17;9,83;3,5;7;5;27,5
Centro;Umbria;TR;A045;2;15;12,5;13;22;64,5
Centro;Marche;AP;A047;1;8,5;9,5;5;15,5;39,5
Sud;Puglia;BA;A048;15,5;31,5;40,34;41,5;52,35;181,19
Isole;Sicilia;CL;A049;3;8,17;2,5;5;7,5;26,17
Sud;Molise;CB;A050;0;2;3;0;2;7
Sud;Molise;IS;A051;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;A052;15;112,4;105,83;42,88;39,5;315,61
Sud;Calabria;CS;A053;5;8;18,16;13;18,14;62,3
Centro;Lazio;FR;A054;8;5,5;2,25;4,67;2,67;23,09
Sud;Puglia;BA;A055;18,5;40;56,67;37,5;38,67;191,34
Isole;Sicilia;CT;A056;35;63,39;58,34;65,24;42,24;264,21
Nord Ovest;Lombardia;BG;A057;0;11;9;4,5;8,75;33,25
Nord Ovest;Lombardia;BG;A058;3;12,67;1;4;6;26,67
Nord Est;Veneto;RO;A059;13;73,5;82,77;58;50,62;277,89
Nord Ovest;Lombardia;BS;A060;0;17,49;18,34;14,08;23;72,91
Nord Est;Veneto;VR;A061;0;9;13;8;5;35
Centro;Lazio;RM;A062;2;4,18;5;4;0;15,18
Sud;Campania;NA;A064;111,04;126,56;125,51;75,77;30,69;469,57
Sud;Calabria;RC;A065;1;3;1;0;0,5;5,5
Nord Est;Emilia-Romagna;PC;A067;0;10,5;11;3;14,7;39,2
Sud;Campania;NA;A068;2;17,88;11;12,94;5,07;48,89
